12.4835 	WARNING 	User requested fullscreen with size [800 600], but screen is actually [1680, 1050]. Using actual size
1.5458 	CRITICAL 	***Begin Experiment***
1.5458 	CRITICAL 	***Randomization: black_1st***
1.5458 	CRITICAL 	***Block 1 Instructions***
69.0326 	DATA 	Keypress: space
84.6607 	DATA 	Keypress: space
84.6607 	CRITICAL 	***Block 1 Experiment***
84.6608 	CRITICAL 	Stim: bf14_nc.jpg
85.8286 	DATA 	Keypress: e
85.8287 	CRITICAL 	Final keypress: e
86.0953 	CRITICAL 	Stim: wf6_nc.jpg
86.7293 	DATA 	Keypress: i
86.7294 	CRITICAL 	Final keypress: i
86.9957 	CRITICAL 	Stim: wm1_nc.jpg
87.7634 	DATA 	Keypress: i
87.7634 	CRITICAL 	Final keypress: i
88.0298 	CRITICAL 	Stim: bm56_nc.jpg
88.6307 	DATA 	Keypress: e
88.6308 	CRITICAL 	Final keypress: e
88.8971 	CRITICAL 	Stim: wf6_nc.jpg
89.6481 	DATA 	Keypress: i
89.6481 	CRITICAL 	Final keypress: i
89.9145 	CRITICAL 	Stim: bm23_nc.jpg
90.4820 	DATA 	Keypress: e
90.4821 	CRITICAL 	Final keypress: e
90.7484 	CRITICAL 	Stim: bm14_nc.jpg
91.3993 	DATA 	Keypress: e
91.3994 	CRITICAL 	Final keypress: e
91.6658 	CRITICAL 	Stim: bm23_nc.jpg
92.2499 	DATA 	Keypress: e
92.2500 	CRITICAL 	Final keypress: e
92.5164 	CRITICAL 	Stim: wf3_nc.jpg
93.2340 	DATA 	Keypress: i
93.2341 	CRITICAL 	Final keypress: i
93.5004 	CRITICAL 	Stim: wf2_nc.jpg
94.3849 	DATA 	Keypress: i
94.3850 	CRITICAL 	Final keypress: i
94.6513 	CRITICAL 	Stim: bm14_nc.jpg
95.2522 	DATA 	Keypress: e
95.2522 	CRITICAL 	Final keypress: e
95.5186 	CRITICAL 	Stim: wm4_nc.jpg
96.2362 	DATA 	Keypress: i
96.2363 	CRITICAL 	Final keypress: i
96.5026 	CRITICAL 	Stim: wm6_nc.jpg
97.2202 	DATA 	Keypress: i
97.2203 	CRITICAL 	Final keypress: i
97.4867 	CRITICAL 	Stim: bf56_nc.jpg
98.1042 	DATA 	Keypress: e
98.1043 	CRITICAL 	Final keypress: e
98.3706 	CRITICAL 	Stim: bf23_nc.jpg
98.9882 	DATA 	Keypress: e
98.9883 	CRITICAL 	Final keypress: e
99.2546 	CRITICAL 	Stim: bm56_nc.jpg
99.7220 	DATA 	Keypress: e
99.7221 	CRITICAL 	Final keypress: e
99.9885 	CRITICAL 	Stim: wf3_nc.jpg
100.6727 	DATA 	Keypress: i
100.6728 	CRITICAL 	Final keypress: i
100.9392 	CRITICAL 	Stim: wm6_nc.jpg
101.6568 	DATA 	Keypress: i
101.6569 	CRITICAL 	Final keypress: i
101.9232 	CRITICAL 	Stim: wm1_nc.jpg
102.3906 	DATA 	Keypress: i
102.3907 	CRITICAL 	Final keypress: i
102.6571 	CRITICAL 	Stim: bf14_nc.jpg
103.2914 	DATA 	Keypress: e
103.2914 	CRITICAL 	Final keypress: e
103.5578 	CRITICAL 	***Block 2 Instructions***
109.8956 	DATA 	Keypress: space
109.8957 	CRITICAL 	***Block 2 Experiment***
109.8957 	CRITICAL 	Stim: Terrible
110.9303 	DATA 	Keypress: i
110.9304 	CRITICAL 	Final keypress: i
111.1967 	CRITICAL 	Stim: Nasty
111.8309 	DATA 	Keypress: i
111.8310 	CRITICAL 	Final keypress: i
112.0973 	CRITICAL 	Stim: Glorious
112.7816 	DATA 	Keypress: e
112.7817 	CRITICAL 	Final keypress: e
113.0480 	CRITICAL 	Stim: Lovely
