11.3232 	WARNING 	User requested fullscreen with size [800 600], but screen is actually [1680, 1050]. Using actual size
1.5173 	CRITICAL 	***Begin Experiment***
1.5173 	CRITICAL 	***Randomization: black_1st***
1.5173 	CRITICAL 	***Block 1 Instructions***
8.8398 	DATA 	Keypress: return
74.2524 	DATA 	Keypress: space
137.2975 	DATA 	Keypress: space
137.2976 	CRITICAL 	***Block 1 Experiment***
137.2976 	CRITICAL 	Stim: bf14_nc.jpg
138.3153 	DATA 	Keypress: e
138.3154 	CRITICAL 	Final keypress: e
138.5821 	CRITICAL 	Stim: wf6_nc.jpg
140.2167 	DATA 	Keypress: i
140.2167 	CRITICAL 	Final keypress: i
140.4831 	CRITICAL 	Stim: wm1_nc.jpg
141.2174 	DATA 	Keypress: i
141.2174 	CRITICAL 	Final keypress: i
141.4838 	CRITICAL 	Stim: bm56_nc.jpg
142.0346 	DATA 	Keypress: e
142.0347 	CRITICAL 	Final keypress: e
142.3010 	CRITICAL 	Stim: wf6_nc.jpg
143.2355 	DATA 	Keypress: i
143.2355 	CRITICAL 	Final keypress: i
143.5019 	CRITICAL 	Stim: bm23_nc.jpg
144.0194 	DATA 	Keypress: e
144.0195 	CRITICAL 	Final keypress: e
144.2858 	CRITICAL 	Stim: bm14_nc.jpg
144.8700 	DATA 	Keypress: e
144.8701 	CRITICAL 	Final keypress: e
145.1364 	CRITICAL 	Stim: bm23_nc.jpg
145.8040 	DATA 	Keypress: e
145.8041 	CRITICAL 	Final keypress: e
146.0704 	CRITICAL 	Stim: wf3_nc.jpg
146.7046 	DATA 	Keypress: i
146.7047 	CRITICAL 	Final keypress: i
146.9711 	CRITICAL 	Stim: wf2_nc.jpg
147.5052 	DATA 	Keypress: i
147.5053 	CRITICAL 	Final keypress: i
147.7716 	CRITICAL 	Stim: bm14_nc.jpg
148.2891 	DATA 	Keypress: e
148.2892 	CRITICAL 	Final keypress: e
148.5555 	CRITICAL 	Stim: wm4_nc.jpg
149.1897 	DATA 	Keypress: i
149.1898 	CRITICAL 	Final keypress: i
149.4561 	CRITICAL 	Stim: wm6_nc.jpg
150.0737 	DATA 	Keypress: i
150.0738 	CRITICAL 	Final keypress: i
150.3401 	CRITICAL 	Stim: bf56_nc.jpg
150.8409 	DATA 	Keypress: e
150.8410 	CRITICAL 	Final keypress: e
151.1073 	CRITICAL 	Stim: bf23_nc.jpg
151.6081 	DATA 	Keypress: e
151.6082 	CRITICAL 	Final keypress: e
151.8746 	CRITICAL 	Stim: bm56_nc.jpg
152.3587 	DATA 	Keypress: e
152.3588 	CRITICAL 	Final keypress: e
152.6251 	CRITICAL 	Stim: wf3_nc.jpg
153.0925 	DATA 	Keypress: i
153.0926 	CRITICAL 	Final keypress: i
153.3589 	CRITICAL 	Stim: wm6_nc.jpg
153.9431 	DATA 	Keypress: i
153.9432 	CRITICAL 	Final keypress: i
154.2096 	CRITICAL 	Stim: wm1_nc.jpg
154.6274 	DATA 	Keypress: i
154.6275 	CRITICAL 	Final keypress: i
154.8934 	CRITICAL 	Stim: bf14_nc.jpg
155.4275 	DATA 	Keypress: e
155.4276 	CRITICAL 	Final keypress: e
155.6940 	CRITICAL 	***Block 2 Instructions***
209.3823 	DATA 	Keypress: space
209.3824 	CRITICAL 	***Block 2 Experiment***
209.3824 	CRITICAL 	Stim: Terrible
211.2008 	DATA 	Keypress: i
211.2009 	CRITICAL 	Final keypress: i
211.4672 	CRITICAL 	Stim: Nasty
212.8686 	DATA 	Keypress: i
212.8687 	CRITICAL 	Final keypress: i
213.1350 	CRITICAL 	Stim: Glorious
214.3197 	DATA 	Keypress: e
214.3198 	CRITICAL 	Final keypress: e
214.5860 	CRITICAL 	Stim: Lovely
215.8208 	DATA 	Keypress: e
215.8208 	CRITICAL 	Final keypress: e
216.0871 	CRITICAL 	Stim: Horrible
216.7381 	DATA 	Keypress: i
216.7382 	CRITICAL 	Final keypress: i
217.0044 	CRITICAL 	Stim: Lovely
218.1891 	DATA 	Keypress: e
218.1892 	CRITICAL 	Final keypress: e
218.4554 	CRITICAL 	Stim: Humiliate
220.1905 	DATA 	Keypress: i
220.1906 	CRITICAL 	Final keypress: i
220.4569 	CRITICAL 	Stim: Painful
221.3414 	DATA 	Keypress: i
221.3415 	CRITICAL 	Final keypress: i
221.6077 	CRITICAL 	Stim: Humiliate
222.3588 	DATA 	Keypress: i
222.3589 	CRITICAL 	Final keypress: i
222.6251 	CRITICAL 	Stim: Wonderful
223.6764 	DATA 	Keypress: e
223.6765 	CRITICAL 	Final keypress: e
223.9427 	CRITICAL 	Stim: Agony
224.8105 	DATA 	Keypress: i
224.8106 	CRITICAL 	Final keypress: i
225.0768 	CRITICAL 	Stim: Tragic
225.7779 	DATA 	Keypress: i
225.7780 	CRITICAL 	Final keypress: i
226.0442 	CRITICAL 	Stim: Horrible
226.9954 	DATA 	Keypress: i
226.9955 	CRITICAL 	Final keypress: i
227.2617 	CRITICAL 	Stim: Superb
227.9961 	DATA 	Keypress: e
227.9962 	CRITICAL 	Final keypress: e
228.2625 	CRITICAL 	Stim: Joyful
228.8301 	DATA 	Keypress: e
228.8301 	CRITICAL 	Final keypress: e
229.0964 	CRITICAL 	Stim: Agony
229.9809 	DATA 	Keypress: i
229.9810 	CRITICAL 	Final keypress: i
230.2472 	CRITICAL 	Stim: Marvelous
231.0149 	DATA 	Keypress: e
231.0150 	CRITICAL 	Final keypress: e
231.2813 	CRITICAL 	Stim: Beautiful
231.9823 	DATA 	Keypress: e
231.9824 	CRITICAL 	Final keypress: e
232.2486 	CRITICAL 	Stim: Superb
232.9330 	DATA 	Keypress: e
232.9331 	CRITICAL 	Final keypress: e
233.1993 	CRITICAL 	Stim: Joyful
233.8003 	DATA 	Keypress: e
233.8004 	CRITICAL 	Final keypress: e
234.0666 	CRITICAL 	***Block 3 Instructions***
248.9105 	DATA 	Keypress: space
248.9106 	CRITICAL 	***Block 3 Experiment***
248.9106 	CRITICAL 	Stim: bf23_nc.jpg
249.7622 	DATA 	Keypress: e
249.7623 	CRITICAL 	Final keypress: e
250.0281 	CRITICAL 	Stim: Terrible
250.8632 	DATA 	Keypress: i
250.8632 	CRITICAL 	Final keypress: i
251.1288 	CRITICAL 	Stim: wm4_nc.jpg
252.8811 	DATA 	Keypress: i
252.8812 	CRITICAL 	Final keypress: i
253.1469 	CRITICAL 	Stim: Painful
253.9987 	DATA 	Keypress: i
253.9988 	CRITICAL 	Final keypress: i
254.2644 	CRITICAL 	Stim: bm56_nc.jpg
255.0160 	DATA 	Keypress: e
255.0161 	CRITICAL 	Final keypress: e
255.2818 	CRITICAL 	Stim: Humiliate
256.1836 	DATA 	Keypress: i
256.1837 	CRITICAL 	Final keypress: i
256.4493 	CRITICAL 	Stim: bf56_nc.jpg
257.2509 	DATA 	Keypress: e
257.2510 	CRITICAL 	Final keypress: e
257.5167 	CRITICAL 	Stim: Joyful
258.1684 	DATA 	Keypress: e
258.1684 	CRITICAL 	Final keypress: e
258.4340 	CRITICAL 	Stim: wm1_nc.jpg
259.0689 	DATA 	Keypress: i
259.0690 	CRITICAL 	Final keypress: i
259.3347 	CRITICAL 	Stim: bm23_nc.jpg
259.9695 	DATA 	Keypress: e
259.9696 	CRITICAL 	Final keypress: e
260.2353 	CRITICAL 	Stim: Beautiful
261.2374 	DATA 	Keypress: e
261.2375 	CRITICAL 	Final keypress: e
261.5029 	CRITICAL 	Stim: Nasty
262.2880 	DATA 	Keypress: i
262.2880 	CRITICAL 	Final keypress: i
262.5536 	CRITICAL 	Stim: wm6_nc.jpg
263.2052 	DATA 	Keypress: i
263.2053 	CRITICAL 	Final keypress: i
263.4709 	CRITICAL 	Stim: wf3_nc.jpg
264.1225 	DATA 	Keypress: i
264.1226 	CRITICAL 	Final keypress: i
264.3883 	CRITICAL 	Stim: Marvelous
265.0399 	DATA 	Keypress: e
