7.7439 	WARNING 	User requested fullscreen with size [800 600], but screen is actually [1680, 1050]. Using actual size
1.5041 	CRITICAL 	***Begin Experiment***
1.5041 	CRITICAL 	***Randomization: white_1st***
1.5041 	CRITICAL 	***Block 1 Instructions***
50.3520 	DATA 	Keypress: space
73.2517 	DATA 	Keypress: space
73.2518 	CRITICAL 	***Block 1 Experiment***
73.2518 	CRITICAL 	Stim: bf23_nc.jpg
73.9860 	DATA 	Keypress: i
73.9861 	CRITICAL 	Final keypress: i
74.2527 	CRITICAL 	Stim: wm4_nc.jpg
74.8538 	DATA 	Keypress: e
74.8539 	CRITICAL 	Final keypress: e
75.1200 	CRITICAL 	Stim: wf2_nc.jpg
75.8541 	DATA 	Keypress: e
75.8542 	CRITICAL 	Final keypress: e
76.1205 	CRITICAL 	Stim: bm56_nc.jpg
76.6379 	DATA 	Keypress: i
76.6380 	CRITICAL 	Final keypress: i
76.9043 	CRITICAL 	Stim: wm6_nc.jpg
77.4552 	DATA 	Keypress: e
77.4553 	CRITICAL 	Final keypress: e
77.7216 	CRITICAL 	Stim: wf2_nc.jpg
78.3558 	DATA 	Keypress: e
78.3559 	CRITICAL 	Final keypress: e
78.6222 	CRITICAL 	Stim: bm56_nc.jpg
79.2064 	DATA 	Keypress: i
79.2065 	CRITICAL 	Final keypress: i
79.4728 	CRITICAL 	Stim: wm6_nc.jpg
79.9903 	DATA 	Keypress: e
79.9904 	CRITICAL 	Final keypress: e
80.2567 	CRITICAL 	Stim: bm23_nc.jpg
80.8743 	DATA 	Keypress: i
80.8744 	CRITICAL 	Final keypress: i
81.1407 	CRITICAL 	Stim: bf56_nc.jpg
81.8917 	DATA 	Keypress: i
81.8917 	CRITICAL 	Final keypress: i
82.1581 	CRITICAL 	Stim: wf6_nc.jpg
82.6756 	DATA 	Keypress: e
82.6756 	CRITICAL 	Final keypress: e
82.9420 	CRITICAL 	Stim: wm4_nc.jpg
83.6429 	DATA 	Keypress: e
83.6430 	CRITICAL 	Final keypress: e
83.9094 	CRITICAL 	Stim: wf6_nc.jpg
84.4935 	DATA 	Keypress: e
84.4936 	CRITICAL 	Final keypress: e
84.7600 	CRITICAL 	Stim: wm1_nc.jpg
85.2774 	DATA 	Keypress: e
85.2775 	CRITICAL 	Final keypress: e
85.5438 	CRITICAL 	Stim: bf14_nc.jpg
86.0113 	DATA 	Keypress: i
86.0114 	CRITICAL 	Final keypress: i
86.2777 	CRITICAL 	Stim: bm14_nc.jpg
86.8452 	DATA 	Keypress: i
86.8453 	CRITICAL 	Final keypress: i
87.1116 	CRITICAL 	Stim: bm23_nc.jpg
87.5624 	DATA 	Keypress: i
87.5625 	CRITICAL 	Final keypress: i
87.8288 	CRITICAL 	Stim: bf23_nc.jpg
88.4131 	DATA 	Keypress: i
88.4132 	CRITICAL 	Final keypress: i
88.6794 	CRITICAL 	Stim: wm1_nc.jpg
89.1969 	DATA 	Keypress: e
89.1970 	CRITICAL 	Final keypress: e
89.4633 	CRITICAL 	Stim: bm14_nc.jpg
90.0809 	DATA 	Keypress: i
90.0809 	CRITICAL 	Final keypress: i
90.3473 	CRITICAL 	***Block 2 Instructions***
98.8367 	DATA 	Keypress: space
98.8367 	CRITICAL 	***Block 2 Experiment***
98.8368 	CRITICAL 	Stim: Terrible
99.6878 	DATA 	Keypress: i
99.6879 	CRITICAL 	Final keypress: i
99.9542 	CRITICAL 	Stim: Nasty
100.6387 	DATA 	Keypress: i
100.6388 	CRITICAL 	Final keypress: i
100.9048 	CRITICAL 	Stim: Glorious
101.5058 	DATA 	Keypress: e
101.5059 	CRITICAL 	Final keypress: e
101.7721 	CRITICAL 	Stim: Lovely
102.3564 	DATA 	Keypress: e
102.3565 	CRITICAL 	Final keypress: e
102.6227 	CRITICAL 	Stim: Horrible
103.1403 	DATA 	Keypress: i
103.1404 	CRITICAL 	Final keypress: i
103.4066 	CRITICAL 	Stim: Lovely
103.9575 	DATA 	Keypress: e
103.9576 	CRITICAL 	Final keypress: e
104.2239 	CRITICAL 	Stim: Humiliate
104.7414 	DATA 	Keypress: i
104.7415 	CRITICAL 	Final keypress: i
105.0078 	CRITICAL 	Stim: Painful
105.5087 	DATA 	Keypress: i
105.5087 	CRITICAL 	Final keypress: i
105.7750 	CRITICAL 	Stim: Humiliate
106.5594 	DATA 	Keypress: i
106.5595 	CRITICAL 	Final keypress: i
106.8257 	CRITICAL 	Stim: Wonderful
107.4100 	DATA 	Keypress: e
107.4101 	CRITICAL 	Final keypress: e
107.6763 	CRITICAL 	Stim: Agony
108.2439 	DATA 	Keypress: i
108.2440 	CRITICAL 	Final keypress: i
108.5103 	CRITICAL 	Stim: Tragic
109.1113 	DATA 	Keypress: i
109.1114 	CRITICAL 	Final keypress: i
109.3775 	CRITICAL 	Stim: Horrible
109.9451 	DATA 	Keypress: i
109.9452 	CRITICAL 	Final keypress: i
110.2115 	CRITICAL 	Stim: Superb
110.7958 	DATA 	Keypress: e
110.7959 	CRITICAL 	Final keypress: e
111.0621 	CRITICAL 	Stim: Joyful
111.5963 	DATA 	Keypress: e
111.5964 	CRITICAL 	Final keypress: e
111.8627 	CRITICAL 	Stim: Agony
112.5137 	DATA 	Keypress: i
112.5138 	CRITICAL 	Final keypress: i
112.7800 	CRITICAL 	Stim: Marvelous
113.3809 	DATA 	Keypress: e
113.3810 	CRITICAL 	Final keypress: e
113.6473 	CRITICAL 	Stim: Beautiful
114.2482 	DATA 	Keypress: e
114.2483 	CRITICAL 	Final keypress: e
114.5145 	CRITICAL 	Stim: Superb
115.1824 	DATA 	Keypress: e
115.1825 	CRITICAL 	Final keypress: e
115.4485 	CRITICAL 	Stim: Joyful
116.0161 	DATA 	Keypress: e
116.0162 	CRITICAL 	Final keypress: e
116.2825 	CRITICAL 	***Block 3 Instructions***
122.7719 	DATA 	Keypress: space
122.7870 	CRITICAL 	***Block 3 Experiment***
122.7870 	CRITICAL 	Stim: Glorious
123.4054 	DATA 	Keypress: e
123.4055 	CRITICAL 	Final keypress: e
123.6712 	CRITICAL 	Stim: Beautiful
124.2564 	DATA 	Keypress: e
124.2566 	CRITICAL 	Final keypress: e
124.5217 	CRITICAL 	Stim: Joyful
125.2734 	DATA 	Keypress: e
125.2735 	CRITICAL 	Final keypress: e
125.5391 	CRITICAL 	Stim: wf2_nc.jpg
126.3408 	DATA 	Keypress: e
126.3409 	CRITICAL 	Final keypress: e
126.6065 	CRITICAL 	Stim: bm23_nc.jpg
127.1747 	DATA 	Keypress: i
127.1748 	CRITICAL 	Final keypress: i
