8.3008 	WARNING 	User requested fullscreen with size [800 600], but screen is actually [1680, 1050]. Using actual size
1.5065 	CRITICAL 	***Begin Experiment***
1.5065 	CRITICAL 	***Randomization: white_1st***
1.5065 	CRITICAL 	***Block 1 Instructions***
12.2911 	DATA 	Keypress: e
33.1560 	DATA 	Keypress: space
81.7415 	DATA 	Keypress: space
81.7573 	CRITICAL 	***Block 1 Experiment***
81.7574 	CRITICAL 	Stim: bf23_nc.jpg
82.5918 	DATA 	Keypress: i
82.5919 	CRITICAL 	Final keypress: i
82.8586 	CRITICAL 	Stim: wm4_nc.jpg
83.4594 	DATA 	Keypress: e
83.4595 	CRITICAL 	Final keypress: e
83.7257 	CRITICAL 	Stim: wf2_nc.jpg
84.3102 	DATA 	Keypress: e
84.3103 	CRITICAL 	Final keypress: e
84.5763 	CRITICAL 	Stim: bm56_nc.jpg
85.1607 	DATA 	Keypress: i
85.1609 	CRITICAL 	Final keypress: i
85.4269 	CRITICAL 	Stim: wm6_nc.jpg
86.1444 	DATA 	Keypress: e
86.1445 	CRITICAL 	Final keypress: e
86.4108 	CRITICAL 	Stim: wf2_nc.jpg
87.0283 	DATA 	Keypress: e
87.0284 	CRITICAL 	Final keypress: e
87.2947 	CRITICAL 	Stim: bm56_nc.jpg
87.8623 	DATA 	Keypress: i
87.8624 	CRITICAL 	Final keypress: i
88.1287 	CRITICAL 	Stim: wm6_nc.jpg
88.7629 	DATA 	Keypress: e
88.7630 	CRITICAL 	Final keypress: e
89.0293 	CRITICAL 	Stim: bm23_nc.jpg
89.6302 	DATA 	Keypress: i
89.6303 	CRITICAL 	Final keypress: i
89.8966 	CRITICAL 	Stim: bf56_nc.jpg
90.6976 	DATA 	Keypress: i
90.6977 	CRITICAL 	Final keypress: i
90.9640 	CRITICAL 	Stim: wf6_nc.jpg
91.5816 	DATA 	Keypress: e
91.5817 	CRITICAL 	Final keypress: e
91.8480 	CRITICAL 	Stim: wm4_nc.jpg
92.4989 	DATA 	Keypress: e
92.4990 	CRITICAL 	Final keypress: e
92.7653 	CRITICAL 	Stim: wf6_nc.jpg
93.2832 	DATA 	Keypress: e
93.2834 	CRITICAL 	Final keypress: e
93.5492 	CRITICAL 	Stim: wm1_nc.jpg
94.1172 	DATA 	Keypress: e
94.1173 	CRITICAL 	Final keypress: e
94.3831 	CRITICAL 	Stim: bf14_nc.jpg
94.9340 	DATA 	Keypress: i
94.9341 	CRITICAL 	Final keypress: i
95.2004 	CRITICAL 	Stim: bm14_nc.jpg
95.7015 	DATA 	Keypress: i
95.7016 	CRITICAL 	Final keypress: i
95.9676 	CRITICAL 	Stim: bm23_nc.jpg
96.3853 	DATA 	Keypress: i
96.3854 	CRITICAL 	Final keypress: i
96.6514 	CRITICAL 	Stim: bf23_nc.jpg
97.3023 	DATA 	Keypress: i
97.3024 	CRITICAL 	Final keypress: i
97.5688 	CRITICAL 	Stim: wm1_nc.jpg
98.2030 	DATA 	Keypress: e
98.2031 	CRITICAL 	Final keypress: e
98.4694 	CRITICAL 	Stim: bm14_nc.jpg
99.0207 	DATA 	Keypress: i
99.0208 	CRITICAL 	Final keypress: i
99.2867 	CRITICAL 	***Block 2 Instructions***
102.1053 	DATA 	Keypress: space
102.1054 	CRITICAL 	***Block 2 Experiment***
102.1054 	CRITICAL 	Stim: Terrible
103.3234 	DATA 	Keypress: i
103.3235 	CRITICAL 	Final keypress: i
103.5898 	CRITICAL 	Stim: Nasty
104.2244 	DATA 	Keypress: i
104.2245 	CRITICAL 	Final keypress: i
104.4905 	CRITICAL 	Stim: Glorious
105.0417 	DATA 	Keypress: e
105.0418 	CRITICAL 	Final keypress: e
105.3076 	CRITICAL 	Stim: Lovely
105.8254 	DATA 	Keypress: e
