10.6077 	WARNING 	User requested fullscreen with size [800 600], but screen is actually [1680, 1050]. Using actual size
1.5150 	CRITICAL 	***Begin Experiment***
1.5151 	CRITICAL 	***Randomization: black_1st***
1.5151 	CRITICAL 	***Block 1 Instructions***
63.3962 	DATA 	Keypress: space
131.2129 	DATA 	Keypress: space
131.2130 	CRITICAL 	***Block 1 Experiment***
131.2130 	CRITICAL 	Stim: bf14_nc.jpg
131.7971 	DATA 	Keypress: e
131.7972 	CRITICAL 	Final keypress: e
132.0639 	CRITICAL 	Stim: wf6_nc.jpg
132.8479 	DATA 	Keypress: i
132.8480 	CRITICAL 	Final keypress: i
133.1143 	CRITICAL 	Stim: wm1_nc.jpg
133.8653 	DATA 	Keypress: i
133.8654 	CRITICAL 	Final keypress: i
134.1318 	CRITICAL 	Stim: bm56_nc.jpg
134.6826 	DATA 	Keypress: e
134.6827 	CRITICAL 	Final keypress: e
134.9490 	CRITICAL 	Stim: wf6_nc.jpg
135.4998 	DATA 	Keypress: i
135.4999 	CRITICAL 	Final keypress: i
135.7663 	CRITICAL 	Stim: bm23_nc.jpg
136.2504 	DATA 	Keypress: e
136.2505 	CRITICAL 	Final keypress: e
136.5168 	CRITICAL 	Stim: bm14_nc.jpg
137.0343 	DATA 	Keypress: e
137.0344 	CRITICAL 	Final keypress: e
137.3007 	CRITICAL 	Stim: bm23_nc.jpg
137.7682 	DATA 	Keypress: e
137.7683 	CRITICAL 	Final keypress: e
138.0346 	CRITICAL 	Stim: wf3_nc.jpg
138.5521 	DATA 	Keypress: i
138.5522 	CRITICAL 	Final keypress: i
138.8185 	CRITICAL 	Stim: wf2_nc.jpg
139.3527 	DATA 	Keypress: i
139.3528 	CRITICAL 	Final keypress: i
139.6191 	CRITICAL 	Stim: bm14_nc.jpg
140.0699 	DATA 	Keypress: e
140.0700 	CRITICAL 	Final keypress: e
140.3363 	CRITICAL 	Stim: wm4_nc.jpg
140.8538 	DATA 	Keypress: i
140.8539 	CRITICAL 	Final keypress: i
141.1202 	CRITICAL 	Stim: wm6_nc.jpg
141.6711 	DATA 	Keypress: i
141.6711 	CRITICAL 	Final keypress: i
141.9375 	CRITICAL 	Stim: bf56_nc.jpg
142.4550 	DATA 	Keypress: e
142.4551 	CRITICAL 	Final keypress: e
142.7214 	CRITICAL 	Stim: bf23_nc.jpg
143.2723 	DATA 	Keypress: e
143.2724 	CRITICAL 	Final keypress: e
143.5387 	CRITICAL 	Stim: bm56_nc.jpg
144.0395 	DATA 	Keypress: e
144.0396 	CRITICAL 	Final keypress: e
144.3059 	CRITICAL 	Stim: wf3_nc.jpg
144.8400 	DATA 	Keypress: i
144.8401 	CRITICAL 	Final keypress: i
145.1065 	CRITICAL 	Stim: wm6_nc.jpg
145.6740 	DATA 	Keypress: i
145.6741 	CRITICAL 	Final keypress: i
145.9404 	CRITICAL 	Stim: wm1_nc.jpg
146.4579 	DATA 	Keypress: i
146.4580 	CRITICAL 	Final keypress: i
146.7243 	CRITICAL 	Stim: bf14_nc.jpg
147.2252 	DATA 	Keypress: e
147.2253 	CRITICAL 	Final keypress: e
147.4916 	CRITICAL 	***Block 2 Instructions***
162.0690 	DATA 	Keypress: space
162.0691 	CRITICAL 	***Block 2 Experiment***
162.0691 	CRITICAL 	Stim: Terrible
163.9876 	DATA 	Keypress: i
163.9877 	CRITICAL 	Final keypress: i
164.2540 	CRITICAL 	Stim: Nasty
165.0384 	DATA 	Keypress: i
165.0385 	CRITICAL 	Final keypress: i
165.3047 	CRITICAL 	Stim: Glorious
166.0725 	DATA 	Keypress: e
166.0726 	CRITICAL 	Final keypress: e
166.3388 	CRITICAL 	Stim: Lovely
167.0566 	DATA 	Keypress: e
167.0567 	CRITICAL 	Final keypress: e
167.3229 	CRITICAL 	Stim: Horrible
168.1407 	DATA 	Keypress: i
168.1408 	CRITICAL 	Final keypress: i
168.4070 	CRITICAL 	Stim: Lovely
169.2415 	DATA 	Keypress: e
169.2416 	CRITICAL 	Final keypress: e
169.5078 	CRITICAL 	Stim: Humiliate
170.3423 	DATA 	Keypress: i
170.3424 	CRITICAL 	Final keypress: i
170.6087 	CRITICAL 	Stim: Painful
171.3097 	DATA 	Keypress: i
171.3098 	CRITICAL 	Final keypress: i
171.5760 	CRITICAL 	Stim: Humiliate
172.3104 	DATA 	Keypress: i
172.3105 	CRITICAL 	Final keypress: i
172.5768 	CRITICAL 	Stim: Wonderful
173.5614 	DATA 	Keypress: e
173.5615 	CRITICAL 	Final keypress: e
173.8277 	CRITICAL 	Stim: Agony
174.5621 	DATA 	Keypress: i
174.5622 	CRITICAL 	Final keypress: i
174.8284 	CRITICAL 	Stim: Tragic
175.5628 	DATA 	Keypress: i
175.5629 	CRITICAL 	Final keypress: i
175.8292 	CRITICAL 	Stim: Horrible
176.7304 	DATA 	Keypress: i
176.7305 	CRITICAL 	Final keypress: i
176.9967 	CRITICAL 	Stim: Superb
177.7478 	DATA 	Keypress: e
177.7479 	CRITICAL 	Final keypress: e
178.0141 	CRITICAL 	Stim: Joyful
179.1155 	DATA 	Keypress: e
179.1155 	CRITICAL 	Final keypress: e
179.3818 	CRITICAL 	Stim: Agony
180.0995 	DATA 	Keypress: i
180.0996 	CRITICAL 	Final keypress: i
180.3659 	CRITICAL 	Stim: Marvelous
181.1336 	DATA 	Keypress: e
181.1337 	CRITICAL 	Final keypress: e
181.3999 	CRITICAL 	Stim: Beautiful
182.4012 	DATA 	Keypress: e
182.4013 	CRITICAL 	Final keypress: e
182.6676 	CRITICAL 	Stim: Superb
183.6355 	DATA 	Keypress: e
183.6356 	CRITICAL 	Final keypress: e
183.9018 	CRITICAL 	Stim: Joyful
185.0532 	DATA 	Keypress: e
185.0533 	CRITICAL 	Final keypress: e
185.3195 	CRITICAL 	***Block 3 Instructions***
204.5004 	DATA 	Keypress: space
204.5004 	CRITICAL 	***Block 3 Experiment***
204.5005 	CRITICAL 	Stim: bf23_nc.jpg
205.3521 	DATA 	Keypress: e
205.3522 	CRITICAL 	Final keypress: e
205.6179 	CRITICAL 	Stim: Terrible
206.5364 	DATA 	Keypress: i
206.5365 	CRITICAL 	Final keypress: i
206.8020 	CRITICAL 	Stim: wm4_nc.jpg
207.6705 	DATA 	Keypress: i
207.6706 	CRITICAL 	Final keypress: i
207.9362 	CRITICAL 	Stim: Painful
208.6379 	DATA 	Keypress: i
208.6380 	CRITICAL 	Final keypress: i
208.9036 	CRITICAL 	Stim: bm56_nc.jpg
209.5385 	DATA 	Keypress: e
209.5386 	CRITICAL 	Final keypress: e
209.8042 	CRITICAL 	Stim: Humiliate
210.4559 	DATA 	Keypress: i
210.4560 	CRITICAL 	Final keypress: i
210.7216 	CRITICAL 	Stim: bf56_nc.jpg
211.3398 	DATA 	Keypress: e
211.3399 	CRITICAL 	Final keypress: e
211.6056 	CRITICAL 	Stim: Joyful
212.2573 	DATA 	Keypress: e
212.2574 	CRITICAL 	Final keypress: e
212.5229 	CRITICAL 	Stim: wm1_nc.jpg
213.1745 	DATA 	Keypress: i
213.1746 	CRITICAL 	Final keypress: i
213.4403 	CRITICAL 	Stim: bm23_nc.jpg
214.1252 	DATA 	Keypress: e
214.1253 	CRITICAL 	Final keypress: e
214.3910 	CRITICAL 	Stim: Beautiful
215.6264 	DATA 	Keypress: e
215.6265 	CRITICAL 	Final keypress: e
215.8921 	CRITICAL 	Stim: Nasty
216.5271 	DATA 	Keypress: i
216.5272 	CRITICAL 	Final keypress: i
216.7927 	CRITICAL 	Stim: wm6_nc.jpg
217.4444 	DATA 	Keypress: i
217.4445 	CRITICAL 	Final keypress: i
217.7101 	CRITICAL 	Stim: wf3_nc.jpg
218.3283 	DATA 	Keypress: i
218.3284 	CRITICAL 	Final keypress: i
218.5941 	CRITICAL 	Stim: Marvelous
219.1957 	DATA 	Keypress: e
219.1958 	CRITICAL 	Final keypress: e
219.4614 	CRITICAL 	Stim: bf14_nc.jpg
220.0629 	DATA 	Keypress: e
220.0630 	CRITICAL 	Final keypress: e
220.3287 	CRITICAL 	Stim: Tragic
220.9637 	DATA 	Keypress: i
220.9638 	CRITICAL 	Final keypress: i
221.2293 	CRITICAL 	Stim: wf6_nc.jpg
221.8309 	DATA 	Keypress: i
221.8310 	CRITICAL 	Final keypress: i
222.0966 	CRITICAL 	Stim: Wonderful
222.7150 	DATA 	Keypress: e
222.7151 	CRITICAL 	Final keypress: e
222.9806 	CRITICAL 	Stim: Lovely
223.5156 	DATA 	Keypress: e
223.5157 	CRITICAL 	Final keypress: e
223.7812 	CRITICAL 	***Block 4 Instructions***
238.8090 	DATA 	Keypress: space
238.8091 	CRITICAL 	***Block 4 Experiment***
238.8091 	CRITICAL 	Stim: Joyful
239.5107 	DATA 	Keypress: e
239.5108 	CRITICAL 	Final keypress: e
239.7764 	CRITICAL 	Stim: wm6_nc.jpg
240.3946 	DATA 	Keypress: i
240.3947 	CRITICAL 	Final keypress: i
240.6603 	CRITICAL 	Stim: bf14_nc.jpg
241.2619 	DATA 	Keypress: e
241.2620 	CRITICAL 	Final keypress: e
241.5277 	CRITICAL 	Stim: Superb
242.1127 	DATA 	Keypress: e
242.1128 	CRITICAL 	Final keypress: e
242.3783 	CRITICAL 	Stim: bm23_nc.jpg
242.9298 	DATA 	Keypress: e
242.9299 	CRITICAL 	Final keypress: e
243.1955 	CRITICAL 	Stim: wm4_nc.jpg
243.7304 	DATA 	Keypress: i
243.7305 	CRITICAL 	Final keypress: i
243.9961 	CRITICAL 	Stim: wf2_nc.jpg
244.5310 	DATA 	Keypress: i
244.5311 	CRITICAL 	Final keypress: i
244.7967 	CRITICAL 	Stim: Tragic
245.3817 	DATA 	Keypress: i
245.3818 	CRITICAL 	Final keypress: i
245.6474 	CRITICAL 	Stim: bm14_nc.jpg
246.1488 	DATA 	Keypress: e
246.1489 	CRITICAL 	Final keypress: e
246.4146 	CRITICAL 	Stim: wf2_nc.jpg
246.9328 	DATA 	Keypress: i
246.9329 	CRITICAL 	Final keypress: i
247.1985 	CRITICAL 	Stim: Nasty
247.7335 	DATA 	Keypress: i
247.7336 	CRITICAL 	Final keypress: i
247.9991 	CRITICAL 	Stim: wm4_nc.jpg
248.5006 	DATA 	Keypress: i
248.5007 	CRITICAL 	Final keypress: i
248.7663 	CRITICAL 	Stim: Glorious
249.3346 	DATA 	Keypress: e
249.3347 	CRITICAL 	Final keypress: e
249.6003 	CRITICAL 	Stim: bm56_nc.jpg
250.1351 	DATA 	Keypress: e
250.1352 	CRITICAL 	Final keypress: e
250.4009 	CRITICAL 	Stim: wm6_nc.jpg
250.9357 	DATA 	Keypress: i
250.9358 	CRITICAL 	Final keypress: i
251.2015 	CRITICAL 	Stim: Glorious
251.8698 	DATA 	Keypress: e
251.8699 	CRITICAL 	Final keypress: e
252.1355 	CRITICAL 	Stim: bm14_nc.jpg
252.6703 	DATA 	Keypress: e
252.6704 	CRITICAL 	Final keypress: e
252.9361 	CRITICAL 	Stim: Awful
253.6712 	DATA 	Keypress: i
253.6713 	CRITICAL 	Final keypress: i
253.9368 	CRITICAL 	Stim: Beautiful
254.5218 	DATA 	Keypress: e
254.5219 	CRITICAL 	Final keypress: e
254.7874 	CRITICAL 	Stim: Wonderful
255.3391 	DATA 	Keypress: e
255.3392 	CRITICAL 	Final keypress: e
255.6047 	CRITICAL 	Stim: Horrible
256.1563 	DATA 	Keypress: i
256.1564 	CRITICAL 	Final keypress: i
256.4220 	CRITICAL 	Stim: Terrible
256.9569 	DATA 	Keypress: i
256.9570 	CRITICAL 	Final keypress: i
257.2226 	CRITICAL 	Stim: bm56_nc.jpg
257.7408 	DATA 	Keypress: e
257.7409 	CRITICAL 	Final keypress: e
258.0065 	CRITICAL 	Stim: bf56_nc.jpg
258.5413 	DATA 	Keypress: e
258.5414 	CRITICAL 	Final keypress: e
258.8071 	CRITICAL 	Stim: Pleasure
259.3420 	DATA 	Keypress: e
259.3421 	CRITICAL 	Final keypress: e
259.6077 	CRITICAL 	Stim: Lovely
260.1259 	DATA 	Keypress: e
260.1260 	CRITICAL 	Final keypress: e
260.3916 	CRITICAL 	Stim: bm23_nc.jpg
260.9264 	DATA 	Keypress: e
260.9265 	CRITICAL 	Final keypress: e
261.1922 	CRITICAL 	Stim: wf6_nc.jpg
261.7271 	DATA 	Keypress: i
261.7272 	CRITICAL 	Final keypress: i
261.9928 	CRITICAL 	Stim: Nasty
262.4943 	DATA 	Keypress: i
262.4944 	CRITICAL 	Final keypress: i
262.7600 	CRITICAL 	Stim: bf56_nc.jpg
263.2615 	DATA 	Keypress: e
263.2616 	CRITICAL 	Final keypress: e
263.5272 	CRITICAL 	Stim: Humiliate
264.0288 	DATA 	Keypress: i
