7.4823 	WARNING 	User requested fullscreen with size [800 600], but screen is actually [1680, 1050]. Using actual size
1.4982 	CRITICAL 	***Begin Experiment***
1.4982 	CRITICAL 	***Randomization: black_1st***
1.4982 	CRITICAL 	***Block 1 Instructions***
33.2063 	DATA 	Keypress: space
56.4229 	DATA 	Keypress: space
56.4229 	CRITICAL 	***Block 1 Experiment***
56.4230 	CRITICAL 	Stim: bf14_nc.jpg
57.3072 	DATA 	Keypress: e
57.3073 	CRITICAL 	Final keypress: e
57.5740 	CRITICAL 	Stim: wf6_nc.jpg
58.4085 	DATA 	Keypress: i
58.4086 	CRITICAL 	Final keypress: i
58.6747 	CRITICAL 	Stim: wm1_nc.jpg
59.3087 	DATA 	Keypress: i
59.3088 	CRITICAL 	Final keypress: i
59.5752 	CRITICAL 	Stim: bm56_nc.jpg
60.2093 	DATA 	Keypress: e
60.2094 	CRITICAL 	Final keypress: e
60.4758 	CRITICAL 	Stim: wf6_nc.jpg
60.9932 	DATA 	Keypress: i
60.9933 	CRITICAL 	Final keypress: i
61.2597 	CRITICAL 	Stim: bm23_nc.jpg
61.8272 	DATA 	Keypress: e
61.8273 	CRITICAL 	Final keypress: e
62.0936 	CRITICAL 	Stim: bm14_nc.jpg
62.7945 	DATA 	Keypress: e
62.7946 	CRITICAL 	Final keypress: e
63.0609 	CRITICAL 	Stim: bm23_nc.jpg
63.7619 	DATA 	Keypress: e
63.7619 	CRITICAL 	Final keypress: e
64.0283 	CRITICAL 	Stim: wf3_nc.jpg
64.6125 	DATA 	Keypress: i
64.6126 	CRITICAL 	Final keypress: i
64.8789 	CRITICAL 	Stim: wf2_nc.jpg
65.7466 	DATA 	Keypress: i
65.7467 	CRITICAL 	Final keypress: i
66.0130 	CRITICAL 	Stim: bm14_nc.jpg
66.5639 	DATA 	Keypress: e
66.5640 	CRITICAL 	Final keypress: e
66.8303 	CRITICAL 	Stim: wm4_nc.jpg
67.5145 	DATA 	Keypress: i
67.5146 	CRITICAL 	Final keypress: i
67.7810 	CRITICAL 	Stim: wm6_nc.jpg
68.3652 	DATA 	Keypress: i
68.3653 	CRITICAL 	Final keypress: i
68.6316 	CRITICAL 	Stim: bf56_nc.jpg
69.3825 	DATA 	Keypress: e
69.3826 	CRITICAL 	Final keypress: e
69.6490 	CRITICAL 	Stim: bf23_nc.jpg
70.3165 	DATA 	Keypress: e
70.3166 	CRITICAL 	Final keypress: e
70.5830 	CRITICAL 	Stim: bm56_nc.jpg
71.1838 	DATA 	Keypress: e
71.1839 	CRITICAL 	Final keypress: e
71.4503 	CRITICAL 	Stim: wf3_nc.jpg
72.0344 	DATA 	Keypress: i
72.0345 	CRITICAL 	Final keypress: i
72.3009 	CRITICAL 	Stim: wm6_nc.jpg
73.0018 	DATA 	Keypress: i
73.0019 	CRITICAL 	Final keypress: i
73.2682 	CRITICAL 	Stim: wm1_nc.jpg
73.8524 	DATA 	Keypress: i
73.8525 	CRITICAL 	Final keypress: i
74.1188 	CRITICAL 	Stim: bf14_nc.jpg
74.6530 	DATA 	Keypress: e
74.6531 	CRITICAL 	Final keypress: e
