33.8928 	WARNING 	User requested fullscreen with size [800 600], but screen is actually [1680, 1050]. Using actual size
1.5049 	CRITICAL 	***Begin Experiment***
1.5049 	CRITICAL 	***Randomization: black_1st***
1.5049 	CRITICAL 	***Block 1 Instructions***
40.3292 	DATA 	Keypress: space
69.5508 	DATA 	Keypress: space
69.5508 	CRITICAL 	***Block 1 Experiment***
69.5509 	CRITICAL 	Stim: bf14_nc.jpg
70.6353 	DATA 	Keypress: e
70.6354 	CRITICAL 	Final keypress: e
70.9021 	CRITICAL 	Stim: wf6_nc.jpg
71.4860 	DATA 	Keypress: i
71.4861 	CRITICAL 	Final keypress: i
71.7524 	CRITICAL 	Stim: wm1_nc.jpg
72.5201 	DATA 	Keypress: i
72.5202 	CRITICAL 	Final keypress: i
72.7865 	CRITICAL 	Stim: bm56_nc.jpg
73.2873 	DATA 	Keypress: e
73.2874 	CRITICAL 	Final keypress: e
73.5537 	CRITICAL 	Stim: wf6_nc.jpg
74.1546 	DATA 	Keypress: i
74.1547 	CRITICAL 	Final keypress: i
74.4210 	CRITICAL 	Stim: bm23_nc.jpg
74.9886 	DATA 	Keypress: e
74.9886 	CRITICAL 	Final keypress: e
75.2550 	CRITICAL 	Stim: bm14_nc.jpg
75.7391 	DATA 	Keypress: e
75.7392 	CRITICAL 	Final keypress: e
76.0056 	CRITICAL 	Stim: bm23_nc.jpg
76.5397 	DATA 	Keypress: e
76.5398 	CRITICAL 	Final keypress: e
76.8061 	CRITICAL 	Stim: wf3_nc.jpg
77.3737 	DATA 	Keypress: i
77.3738 	CRITICAL 	Final keypress: i
77.6401 	CRITICAL 	Stim: wf2_nc.jpg
78.5912 	DATA 	Keypress: i
78.5913 	CRITICAL 	Final keypress: i
78.8577 	CRITICAL 	Stim: bm14_nc.jpg
79.3418 	DATA 	Keypress: e
79.3419 	CRITICAL 	Final keypress: e
79.6082 	CRITICAL 	Stim: wm4_nc.jpg
80.1591 	DATA 	Keypress: i
80.1592 	CRITICAL 	Final keypress: i
80.4255 	CRITICAL 	Stim: wm6_nc.jpg
81.1097 	DATA 	Keypress: i
81.1098 	CRITICAL 	Final keypress: i
81.3762 	CRITICAL 	Stim: bf56_nc.jpg
81.9270 	DATA 	Keypress: e
81.9271 	CRITICAL 	Final keypress: e
82.1935 	CRITICAL 	Stim: bf23_nc.jpg
82.7276 	DATA 	Keypress: e
82.7277 	CRITICAL 	Final keypress: e
82.9941 	CRITICAL 	Stim: bm56_nc.jpg
83.5282 	DATA 	Keypress: e
83.5283 	CRITICAL 	Final keypress: e
83.7946 	CRITICAL 	Stim: wf3_nc.jpg
84.3621 	DATA 	Keypress: i
84.3622 	CRITICAL 	Final keypress: i
84.6286 	CRITICAL 	Stim: wm6_nc.jpg
85.2796 	DATA 	Keypress: i
85.2796 	CRITICAL 	Final keypress: i
85.5459 	CRITICAL 	Stim: wm1_nc.jpg
86.1134 	DATA 	Keypress: i
86.1135 	CRITICAL 	Final keypress: i
86.3799 	CRITICAL 	Stim: bf14_nc.jpg
86.8640 	DATA 	Keypress: e
86.8641 	CRITICAL 	Final keypress: e
87.1305 	CRITICAL 	***Block 2 Instructions***
102.7094 	DATA 	Keypress: space
102.7252 	CRITICAL 	***Block 2 Experiment***
102.7252 	CRITICAL 	Stim: Terrible
104.0434 	DATA 	Keypress: i
104.0435 	CRITICAL 	Final keypress: i
104.3099 	CRITICAL 	Stim: Nasty
104.8941 	DATA 	Keypress: i
104.8942 	CRITICAL 	Final keypress: i
105.1604 	CRITICAL 	Stim: Glorious
105.7447 	DATA 	Keypress: e
105.7448 	CRITICAL 	Final keypress: e
106.0110 	CRITICAL 	Stim: Lovely
106.5286 	DATA 	Keypress: e
106.5287 	CRITICAL 	Final keypress: e
106.7950 	CRITICAL 	Stim: Horrible
107.4293 	DATA 	Keypress: i
107.4294 	CRITICAL 	Final keypress: i
107.6956 	CRITICAL 	Stim: Lovely
108.2299 	DATA 	Keypress: e
108.2300 	CRITICAL 	Final keypress: e
108.4962 	CRITICAL 	Stim: Humiliate
