10.9840 	WARNING 	User requested fullscreen with size [800 600], but screen is actually [1680, 1050]. Using actual size
1.5145 	CRITICAL 	***Begin Experiment***
1.5146 	CRITICAL 	***Randomization: white_1st***
1.5146 	CRITICAL 	***Block 1 Instructions***
60.1927 	DATA 	Keypress: space
73.8859 	DATA 	Keypress: space
73.8860 	CRITICAL 	***Block 1 Experiment***
73.8860 	CRITICAL 	Stim: bf23_nc.jpg
74.9371 	DATA 	Keypress: i
74.9372 	CRITICAL 	Final keypress: i
75.2039 	CRITICAL 	Stim: wm4_nc.jpg
75.8044 	DATA 	Keypress: e
75.8045 	CRITICAL 	Final keypress: e
76.0709 	CRITICAL 	Stim: wf2_nc.jpg
76.8718 	DATA 	Keypress: e
76.8719 	CRITICAL 	Final keypress: e
77.1384 	CRITICAL 	Stim: bm56_nc.jpg
77.7725 	DATA 	Keypress: i
77.7726 	CRITICAL 	Final keypress: i
78.0389 	CRITICAL 	Stim: wm6_nc.jpg
78.7065 	DATA 	Keypress: e
78.7066 	CRITICAL 	Final keypress: e
78.9729 	CRITICAL 	Stim: wf2_nc.jpg
79.6739 	DATA 	Keypress: e
79.6740 	CRITICAL 	Final keypress: e
79.9403 	CRITICAL 	Stim: bm56_nc.jpg
80.5245 	DATA 	Keypress: i
80.5246 	CRITICAL 	Final keypress: i
80.7909 	CRITICAL 	Stim: wm6_nc.jpg
81.4251 	DATA 	Keypress: e
81.4252 	CRITICAL 	Final keypress: e
81.6916 	CRITICAL 	Stim: bm23_nc.jpg
82.2924 	DATA 	Keypress: i
82.2925 	CRITICAL 	Final keypress: i
82.5589 	CRITICAL 	Stim: bf56_nc.jpg
83.2931 	DATA 	Keypress: i
83.2932 	CRITICAL 	Final keypress: i
83.5596 	CRITICAL 	Stim: wf6_nc.jpg
84.1104 	DATA 	Keypress: e
84.1105 	CRITICAL 	Final keypress: e
84.3768 	CRITICAL 	Stim: wm4_nc.jpg
84.9276 	DATA 	Keypress: e
84.9277 	CRITICAL 	Final keypress: e
85.1941 	CRITICAL 	Stim: wf6_nc.jpg
85.7449 	DATA 	Keypress: e
85.7450 	CRITICAL 	Final keypress: e
86.0113 	CRITICAL 	Stim: wm1_nc.jpg
86.6622 	DATA 	Keypress: e
86.6623 	CRITICAL 	Final keypress: e
86.9287 	CRITICAL 	Stim: bf14_nc.jpg
87.4628 	DATA 	Keypress: i
87.4629 	CRITICAL 	Final keypress: i
87.7292 	CRITICAL 	Stim: bm14_nc.jpg
88.2467 	DATA 	Keypress: i
88.2468 	CRITICAL 	Final keypress: i
88.5131 	CRITICAL 	Stim: bm23_nc.jpg
89.0306 	DATA 	Keypress: i
89.0307 	CRITICAL 	Final keypress: i
89.2971 	CRITICAL 	Stim: bf23_nc.jpg
89.8145 	DATA 	Keypress: i
89.8146 	CRITICAL 	Final keypress: i
90.0809 	CRITICAL 	Stim: wm1_nc.jpg
90.6151 	DATA 	Keypress: e
90.6152 	CRITICAL 	Final keypress: e
90.8815 	CRITICAL 	Stim: bm14_nc.jpg
91.4157 	DATA 	Keypress: i
91.4157 	CRITICAL 	Final keypress: i
91.6821 	CRITICAL 	***Block 2 Instructions***
96.2020 	DATA 	Keypress: space
96.2021 	CRITICAL 	***Block 2 Experiment***
96.2021 	CRITICAL 	Stim: Terrible
97.4534 	DATA 	Keypress: i
97.4535 	CRITICAL 	Final keypress: i
97.7198 	CRITICAL 	Stim: Nasty
98.2707 	DATA 	Keypress: i
98.2708 	CRITICAL 	Final keypress: i
98.5370 	CRITICAL 	Stim: Glorious
99.0714 	DATA 	Keypress: e
99.0715 	CRITICAL 	Final keypress: e
99.3376 	CRITICAL 	Stim: Lovely
99.8719 	DATA 	Keypress: e
99.8720 	CRITICAL 	Final keypress: e
100.1382 	CRITICAL 	Stim: Horrible
100.6224 	DATA 	Keypress: e
102.9074 	DATA 	Keypress: i
102.9075 	CRITICAL 	Final keypress: i
103.1738 	CRITICAL 	Stim: Lovely
104.1249 	DATA 	Keypress: e
104.1250 	CRITICAL 	Final keypress: e
104.3912 	CRITICAL 	Stim: Humiliate
105.0589 	DATA 	Keypress: i
105.0590 	CRITICAL 	Final keypress: i
105.3253 	CRITICAL 	Stim: Painful
105.9929 	DATA 	Keypress: i
105.9930 	CRITICAL 	Final keypress: i
106.2593 	CRITICAL 	Stim: Humiliate
106.8936 	DATA 	Keypress: i
106.8937 	CRITICAL 	Final keypress: i
107.1599 	CRITICAL 	Stim: Wonderful
107.6942 	DATA 	Keypress: e
107.6942 	CRITICAL 	Final keypress: e
107.9605 	CRITICAL 	Stim: Agony
108.4947 	DATA 	Keypress: i
108.4948 	CRITICAL 	Final keypress: i
108.7611 	CRITICAL 	Stim: Tragic
109.2786 	DATA 	Keypress: i
109.2787 	CRITICAL 	Final keypress: i
109.5450 	CRITICAL 	Stim: Horrible
110.0625 	DATA 	Keypress: i
110.0626 	CRITICAL 	Final keypress: i
110.3289 	CRITICAL 	Stim: Superb
110.9298 	DATA 	Keypress: e
110.9299 	CRITICAL 	Final keypress: e
111.1962 	CRITICAL 	Stim: Joyful
111.8138 	DATA 	Keypress: e
111.8139 	CRITICAL 	Final keypress: e
112.0801 	CRITICAL 	Stim: Agony
112.6144 	DATA 	Keypress: i
112.6145 	CRITICAL 	Final keypress: i
112.8807 	CRITICAL 	Stim: Marvelous
113.4483 	DATA 	Keypress: e
113.4484 	CRITICAL 	Final keypress: e
113.7146 	CRITICAL 	Stim: Beautiful
114.3490 	DATA 	Keypress: e
114.3490 	CRITICAL 	Final keypress: e
114.6153 	CRITICAL 	Stim: Superb
115.2329 	DATA 	Keypress: e
115.2330 	CRITICAL 	Final keypress: e
115.4993 	CRITICAL 	Stim: Joyful
115.9501 	DATA 	Keypress: e
115.9502 	CRITICAL 	Final keypress: e
116.2165 	CRITICAL 	***Block 3 Instructions***
130.0264 	DATA 	Keypress: space
130.0265 	CRITICAL 	***Block 3 Experiment***
130.0265 	CRITICAL 	Stim: Glorious
131.2952 	DATA 	Keypress: e
131.2953 	CRITICAL 	Final keypress: e
131.5609 	CRITICAL 	Stim: Beautiful
132.1625 	DATA 	Keypress: e
132.1626 	CRITICAL 	Final keypress: e
132.4281 	CRITICAL 	Stim: Joyful
132.9297 	DATA 	Keypress: e
132.9298 	CRITICAL 	Final keypress: e
133.1953 	CRITICAL 	Stim: wf2_nc.jpg
133.9470 	DATA 	Keypress: e
133.9471 	CRITICAL 	Final keypress: e
134.2127 	CRITICAL 	Stim: bm23_nc.jpg
134.8645 	DATA 	Keypress: i
134.8646 	CRITICAL 	Final keypress: i
135.1301 	CRITICAL 	Stim: bm56_nc.jpg
135.7483 	DATA 	Keypress: i
135.7484 	CRITICAL 	Final keypress: i
136.0140 	CRITICAL 	Stim: Horrible
136.6991 	DATA 	Keypress: i
136.6992 	CRITICAL 	Final keypress: i
136.9647 	CRITICAL 	Stim: Marvelous
137.5330 	DATA 	Keypress: e
137.5331 	CRITICAL 	Final keypress: e
137.7987 	CRITICAL 	Stim: bf14_nc.jpg
138.4669 	DATA 	Keypress: i
138.4670 	CRITICAL 	Final keypress: i
138.7327 	CRITICAL 	Stim: Awful
139.3010 	DATA 	Keypress: i
139.3011 	CRITICAL 	Final keypress: i
139.5666 	CRITICAL 	Stim: Agony
140.0348 	DATA 	Keypress: i
140.0349 	CRITICAL 	Final keypress: i
140.3005 	CRITICAL 	Stim: bf23_nc.jpg
140.8853 	DATA 	Keypress: i
140.8854 	CRITICAL 	Final keypress: i
141.1511 	CRITICAL 	Stim: bm14_nc.jpg
141.6359 	DATA 	Keypress: i
141.6360 	CRITICAL 	Final keypress: i
141.9016 	CRITICAL 	Stim: wm4_nc.jpg
142.4865 	DATA 	Keypress: e
142.4866 	CRITICAL 	Final keypress: e
142.7522 	CRITICAL 	Stim: wf3_nc.jpg
143.3037 	DATA 	Keypress: e
143.3038 	CRITICAL 	Final keypress: e
143.5695 	CRITICAL 	Stim: Wonderful
144.1381 	DATA 	Keypress: e
144.1382 	CRITICAL 	Final keypress: e
144.4034 	CRITICAL 	Stim: Terrible
144.8717 	DATA 	Keypress: i
144.8718 	CRITICAL 	Final keypress: i
145.1373 	CRITICAL 	Stim: Tragic
145.7056 	DATA 	Keypress: i
145.7057 	CRITICAL 	Final keypress: i
145.9712 	CRITICAL 	Stim: wf6_nc.jpg
146.7062 	DATA 	Keypress: e
146.7063 	CRITICAL 	Final keypress: e
146.9719 	CRITICAL 	Stim: wm6_nc.jpg
147.5401 	DATA 	Keypress: e
147.5402 	CRITICAL 	Final keypress: e
147.8059 	CRITICAL 	***Block 4 Instructions***
155.1111 	DATA 	Keypress: space
155.1112 	CRITICAL 	***Block 4 Experiment***
155.1112 	CRITICAL 	Stim: Lovely
156.0297 	DATA 	Keypress: e
156.0298 	CRITICAL 	Final keypress: e
156.2954 	CRITICAL 	Stim: Horrible
156.8469 	DATA 	Keypress: i
156.8470 	CRITICAL 	Final keypress: i
157.1126 	CRITICAL 	Stim: bf14_nc.jpg
157.7642 	DATA 	Keypress: e
158.4480 	DATA 	Keypress: i
158.4480 	CRITICAL 	Final keypress: i
158.7138 	CRITICAL 	Stim: Painful
159.2820 	DATA 	Keypress: i
159.2821 	CRITICAL 	Final keypress: i
159.5477 	CRITICAL 	Stim: Glorious
160.2827 	DATA 	Keypress: e
160.2828 	CRITICAL 	Final keypress: e
160.5484 	CRITICAL 	Stim: Superb
161.0834 	DATA 	Keypress: e
161.0835 	CRITICAL 	Final keypress: e
161.3490 	CRITICAL 	Stim: bm14_nc.jpg
161.9672 	DATA 	Keypress: i
161.9673 	CRITICAL 	Final keypress: i
162.2329 	CRITICAL 	Stim: wf2_nc.jpg
162.7511 	DATA 	Keypress: e
162.7512 	CRITICAL 	Final keypress: e
163.0168 	CRITICAL 	Stim: Humiliate
163.5351 	DATA 	Keypress: i
163.5352 	CRITICAL 	Final keypress: i
163.8007 	CRITICAL 	Stim: bm56_nc.jpg
164.4356 	DATA 	Keypress: i
164.4357 	CRITICAL 	Final keypress: i
164.7014 	CRITICAL 	Stim: Awful
165.2697 	DATA 	Keypress: i
165.2698 	CRITICAL 	Final keypress: i
165.5353 	CRITICAL 	Stim: wm4_nc.jpg
166.1202 	DATA 	Keypress: e
166.1203 	CRITICAL 	Final keypress: e
166.3859 	CRITICAL 	Stim: Beautiful
166.9209 	DATA 	Keypress: e
166.9209 	CRITICAL 	Final keypress: e
167.1865 	CRITICAL 	Stim: bm23_nc.jpg
167.7714 	DATA 	Keypress: i
167.7715 	CRITICAL 	Final keypress: i
168.0372 	CRITICAL 	Stim: Marvelous
168.5387 	DATA 	Keypress: e
168.5388 	CRITICAL 	Final keypress: e
168.8043 	CRITICAL 	Stim: Joyful
169.3059 	DATA 	Keypress: e
169.3060 	CRITICAL 	Final keypress: e
169.5715 	CRITICAL 	Stim: wm1_nc.jpg
170.2565 	DATA 	Keypress: e
170.2566 	CRITICAL 	Final keypress: e
170.5222 	CRITICAL 	Stim: Nasty
171.0071 	DATA 	Keypress: i
171.0072 	CRITICAL 	Final keypress: i
171.2728 	CRITICAL 	Stim: bm14_nc.jpg
171.7909 	DATA 	Keypress: i
171.7910 	CRITICAL 	Final keypress: i
172.0567 	CRITICAL 	Stim: Humiliate
172.6083 	DATA 	Keypress: i
172.6084 	CRITICAL 	Final keypress: i
172.8739 	CRITICAL 	Stim: wf2_nc.jpg
173.4755 	DATA 	Keypress: e
173.4756 	CRITICAL 	Final keypress: e
173.7412 	CRITICAL 	Stim: wf3_nc.jpg
174.3261 	DATA 	Keypress: e
174.3262 	CRITICAL 	Final keypress: e
174.5918 	CRITICAL 	Stim: bf56_nc.jpg
175.1934 	DATA 	Keypress: i
175.1935 	CRITICAL 	Final keypress: i
175.4591 	CRITICAL 	Stim: Awful
176.0775 	DATA 	Keypress: i
176.0776 	CRITICAL 	Final keypress: i
176.3431 	CRITICAL 	Stim: wf6_nc.jpg
176.9446 	DATA 	Keypress: e
176.9447 	CRITICAL 	Final keypress: e
177.2104 	CRITICAL 	Stim: bf56_nc.jpg
177.8119 	DATA 	Keypress: i
177.8120 	CRITICAL 	Final keypress: i
178.0777 	CRITICAL 	Stim: Joyful
178.5459 	DATA 	Keypress: e
178.5460 	CRITICAL 	Final keypress: e
178.8115 	CRITICAL 	Stim: bf14_nc.jpg
179.4131 	DATA 	Keypress: i
179.4132 	CRITICAL 	Final keypress: i
179.6788 	CRITICAL 	Stim: Nasty
180.1804 	DATA 	Keypress: i
180.1805 	CRITICAL 	Final keypress: i
180.4461 	CRITICAL 	Stim: Horrible
180.9476 	DATA 	Keypress: i
180.9477 	CRITICAL 	Final keypress: i
181.2133 	CRITICAL 	Stim: wf3_nc.jpg
181.7981 	DATA 	Keypress: e
181.7982 	CRITICAL 	Final keypress: e
182.0639 	CRITICAL 	Stim: bf23_nc.jpg
182.6488 	DATA 	Keypress: i
182.6489 	CRITICAL 	Final keypress: i
182.9145 	CRITICAL 	Stim: Agony
183.4161 	DATA 	Keypress: i
183.4162 	CRITICAL 	Final keypress: i
183.6817 	CRITICAL 	Stim: wm6_nc.jpg
184.2499 	DATA 	Keypress: e
184.2500 	CRITICAL 	Final keypress: e
184.5157 	CRITICAL 	Stim: Superb
185.3508 	DATA 	Keypress: e
185.3509 	CRITICAL 	Final keypress: e
185.6164 	CRITICAL 	Stim: Pleasure
186.1014 	DATA 	Keypress: e
186.1015 	CRITICAL 	Final keypress: e
186.3670 	CRITICAL 	Stim: bm56_nc.jpg
186.9852 	DATA 	Keypress: i
186.9853 	CRITICAL 	Final keypress: i
187.2510 	CRITICAL 	Stim: Marvelous
187.7860 	DATA 	Keypress: e
187.7861 	CRITICAL 	Final keypress: e
188.0515 	CRITICAL 	Stim: wm1_nc.jpg
188.6864 	DATA 	Keypress: e
188.6865 	CRITICAL 	Final keypress: e
188.9522 	CRITICAL 	Stim: wf6_nc.jpg
189.4537 	DATA 	Keypress: e
189.4538 	CRITICAL 	Final keypress: e
189.7194 	CRITICAL 	***Block 5 Instructions***
201.8948 	DATA 	Keypress: space
201.8949 	CRITICAL 	***Block 5 Experiment***
201.8949 	CRITICAL 	Stim: bf14_nc.jpg
202.8293 	DATA 	Keypress: e
202.8294 	CRITICAL 	Final keypress: e
203.0958 	CRITICAL 	Stim: wf6_nc.jpg
203.7633 	DATA 	Keypress: i
203.7634 	CRITICAL 	Final keypress: i
204.0297 	CRITICAL 	Stim: wm1_nc.jpg
204.6640 	DATA 	Keypress: i
204.6641 	CRITICAL 	Final keypress: i
204.9304 	CRITICAL 	Stim: bm56_nc.jpg
205.4145 	DATA 	Keypress: e
205.4146 	CRITICAL 	Final keypress: e
205.6809 	CRITICAL 	Stim: wf6_nc.jpg
206.3318 	DATA 	Keypress: i
206.3319 	CRITICAL 	Final keypress: i
206.5982 	CRITICAL 	Stim: bm23_nc.jpg
207.1324 	DATA 	Keypress: e
