8.9265 	WARNING 	User requested fullscreen with size [800 600], but screen is actually [1680, 1050]. Using actual size
1.4811 	CRITICAL 	***Begin Experiment***
1.4811 	CRITICAL 	***Randomization: black_1st***
1.4811 	CRITICAL 	***Block 1 Instructions***
25.6181 	DATA 	Keypress: space
37.5268 	DATA 	Keypress: space
37.5269 	CRITICAL 	***Block 1 Experiment***
37.5269 	CRITICAL 	Stim: bf14_nc.jpg
38.4279 	DATA 	Keypress: e
38.4280 	CRITICAL 	Final keypress: e
38.6946 	CRITICAL 	Stim: wf6_nc.jpg
39.4286 	DATA 	Keypress: i
39.4287 	CRITICAL 	Final keypress: i
39.6951 	CRITICAL 	Stim: wm1_nc.jpg
40.5128 	DATA 	Keypress: i
40.5129 	CRITICAL 	Final keypress: i
40.7792 	CRITICAL 	Stim: bm56_nc.jpg
41.4801 	DATA 	Keypress: e
41.4802 	CRITICAL 	Final keypress: e
41.7465 	CRITICAL 	Stim: wf6_nc.jpg
42.4975 	DATA 	Keypress: i
42.4976 	CRITICAL 	Final keypress: i
42.7640 	CRITICAL 	Stim: bm23_nc.jpg
43.4482 	DATA 	Keypress: e
43.4483 	CRITICAL 	Final keypress: e
43.7147 	CRITICAL 	Stim: bm14_nc.jpg
44.4157 	DATA 	Keypress: e
44.4157 	CRITICAL 	Final keypress: e
44.6820 	CRITICAL 	Stim: bm23_nc.jpg
45.3996 	DATA 	Keypress: e
45.3997 	CRITICAL 	Final keypress: e
45.6661 	CRITICAL 	Stim: wf3_nc.jpg
46.3170 	DATA 	Keypress: i
46.3171 	CRITICAL 	Final keypress: i
46.5834 	CRITICAL 	Stim: wf2_nc.jpg
47.3010 	DATA 	Keypress: i
47.3011 	CRITICAL 	Final keypress: i
47.5675 	CRITICAL 	Stim: bm14_nc.jpg
48.1850 	DATA 	Keypress: e
48.1851 	CRITICAL 	Final keypress: e
48.4514 	CRITICAL 	Stim: wm4_nc.jpg
49.1190 	DATA 	Keypress: i
49.1191 	CRITICAL 	Final keypress: i
49.3855 	CRITICAL 	Stim: wm6_nc.jpg
50.1031 	DATA 	Keypress: i
50.1032 	CRITICAL 	Final keypress: i
50.3695 	CRITICAL 	Stim: bf56_nc.jpg
51.1038 	DATA 	Keypress: e
51.1039 	CRITICAL 	Final keypress: e
51.3702 	CRITICAL 	Stim: bf23_nc.jpg
52.0545 	DATA 	Keypress: e
52.0546 	CRITICAL 	Final keypress: e
52.3209 	CRITICAL 	Stim: bm56_nc.jpg
52.9718 	DATA 	Keypress: e
52.9719 	CRITICAL 	Final keypress: e
53.2383 	CRITICAL 	Stim: wf3_nc.jpg
53.8391 	DATA 	Keypress: i
53.8392 	CRITICAL 	Final keypress: i
54.1056 	CRITICAL 	Stim: wm6_nc.jpg
54.7565 	DATA 	Keypress: i
54.7566 	CRITICAL 	Final keypress: i
55.0229 	CRITICAL 	Stim: wm1_nc.jpg
55.7072 	DATA 	Keypress: i
55.7072 	CRITICAL 	Final keypress: i
55.9736 	CRITICAL 	Stim: bf14_nc.jpg
56.5578 	DATA 	Keypress: e
56.5579 	CRITICAL 	Final keypress: e
56.8243 	CRITICAL 	***Block 2 Instructions***
64.2797 	DATA 	Keypress: space
64.2797 	CRITICAL 	***Block 2 Experiment***
64.2798 	CRITICAL 	Stim: Terrible
65.2642 	DATA 	Keypress: i
65.2643 	CRITICAL 	Final keypress: i
65.5306 	CRITICAL 	Stim: Nasty
66.1316 	DATA 	Keypress: i
66.1317 	CRITICAL 	Final keypress: i
66.3979 	CRITICAL 	Stim: Glorious
66.9321 	DATA 	Keypress: e
66.9322 	CRITICAL 	Final keypress: e
67.1984 	CRITICAL 	Stim: Lovely
67.6993 	DATA 	Keypress: e
67.6994 	CRITICAL 	Final keypress: e
67.9657 	CRITICAL 	Stim: Horrible
68.5666 	DATA 	Keypress: i
68.5667 	CRITICAL 	Final keypress: i
68.8330 	CRITICAL 	Stim: Lovely
69.3672 	DATA 	Keypress: e
69.3673 	CRITICAL 	Final keypress: e
69.6336 	CRITICAL 	Stim: Humiliate
70.3013 	DATA 	Keypress: i
70.3014 	CRITICAL 	Final keypress: i
70.5676 	CRITICAL 	Stim: Painful
71.1685 	DATA 	Keypress: i
71.1686 	CRITICAL 	Final keypress: i
71.4349 	CRITICAL 	Stim: Humiliate
72.1192 	DATA 	Keypress: i
72.1193 	CRITICAL 	Final keypress: i
72.3856 	CRITICAL 	Stim: Wonderful
72.9865 	DATA 	Keypress: e
72.9866 	CRITICAL 	Final keypress: e
73.2529 	CRITICAL 	Stim: Agony
73.8538 	DATA 	Keypress: i
73.8539 	CRITICAL 	Final keypress: i
74.1202 	CRITICAL 	Stim: Tragic
74.8045 	DATA 	Keypress: i
74.8046 	CRITICAL 	Final keypress: i
75.0709 	CRITICAL 	Stim: Horrible
75.6552 	DATA 	Keypress: i
75.6553 	CRITICAL 	Final keypress: i
75.9215 	CRITICAL 	Stim: Superb
76.4891 	DATA 	Keypress: e
76.4892 	CRITICAL 	Final keypress: e
76.7554 	CRITICAL 	Stim: Joyful
77.3064 	DATA 	Keypress: e
77.3065 	CRITICAL 	Final keypress: e
77.5727 	CRITICAL 	Stim: Agony
78.2070 	DATA 	Keypress: i
78.2071 	CRITICAL 	Final keypress: i
78.4733 	CRITICAL 	Stim: Marvelous
79.0910 	DATA 	Keypress: e
79.0911 	CRITICAL 	Final keypress: e
79.3574 	CRITICAL 	Stim: Beautiful
79.9916 	DATA 	Keypress: e
79.9917 	CRITICAL 	Final keypress: e
80.2580 	CRITICAL 	Stim: Superb
80.9757 	DATA 	Keypress: e
80.9758 	CRITICAL 	Final keypress: e
81.2420 	CRITICAL 	Stim: Joyful
81.7930 	DATA 	Keypress: e
81.7930 	CRITICAL 	Final keypress: e
82.0593 	CRITICAL 	***Block 3 Instructions***
94.2682 	DATA 	Keypress: space
94.2683 	CRITICAL 	***Block 3 Experiment***
94.2683 	CRITICAL 	Stim: bf23_nc.jpg
95.2533 	DATA 	Keypress: e
95.2534 	CRITICAL 	Final keypress: e
95.5192 	CRITICAL 	Stim: Terrible
96.9881 	DATA 	Keypress: i
96.9882 	CRITICAL 	Final keypress: i
97.2537 	CRITICAL 	Stim: wm4_nc.jpg
98.1555 	DATA 	Keypress: i
98.1555 	CRITICAL 	Final keypress: i
98.4212 	CRITICAL 	Stim: Painful
99.4065 	DATA 	Keypress: i
99.4066 	CRITICAL 	Final keypress: i
99.6721 	CRITICAL 	Stim: bm56_nc.jpg
100.9408 	DATA 	Keypress: e
100.9409 	CRITICAL 	Final keypress: e
101.2066 	CRITICAL 	Stim: Humiliate
102.2586 	DATA 	Keypress: i
102.2586 	CRITICAL 	Final keypress: i
102.5242 	CRITICAL 	Stim: bf56_nc.jpg
103.8263 	DATA 	Keypress: e
103.8264 	CRITICAL 	Final keypress: e
104.0920 	CRITICAL 	Stim: Joyful
104.9272 	DATA 	Keypress: e
104.9273 	CRITICAL 	Final keypress: e
105.1928 	CRITICAL 	Stim: wm1_nc.jpg
106.2113 	DATA 	Keypress: i
106.2114 	CRITICAL 	Final keypress: i
106.4771 	CRITICAL 	Stim: bm23_nc.jpg
107.3121 	DATA 	Keypress: e
107.3122 	CRITICAL 	Final keypress: e
107.5779 	CRITICAL 	Stim: Beautiful
108.6299 	DATA 	Keypress: e
108.6300 	CRITICAL 	Final keypress: e
108.8955 	CRITICAL 	Stim: Nasty
110.2477 	DATA 	Keypress: i
110.2478 	CRITICAL 	Final keypress: i
110.5134 	CRITICAL 	Stim: wm6_nc.jpg
111.2484 	DATA 	Keypress: i
111.2485 	CRITICAL 	Final keypress: i
111.5141 	CRITICAL 	Stim: wf3_nc.jpg
112.2657 	DATA 	Keypress: i
112.2658 	CRITICAL 	Final keypress: i
112.5315 	CRITICAL 	Stim: Marvelous
113.2999 	DATA 	Keypress: e
113.3000 	CRITICAL 	Final keypress: e
113.5656 	CRITICAL 	Stim: bf14_nc.jpg
114.2505 	DATA 	Keypress: e
114.2506 	CRITICAL 	Final keypress: e
114.5163 	CRITICAL 	Stim: Tragic
115.6516 	DATA 	Keypress: i
115.6517 	CRITICAL 	Final keypress: i
115.9173 	CRITICAL 	Stim: wf6_nc.jpg
116.6690 	DATA 	Keypress: i
116.6691 	CRITICAL 	Final keypress: i
116.9347 	CRITICAL 	Stim: Wonderful
117.8366 	DATA 	Keypress: e
117.8367 	CRITICAL 	Final keypress: e
118.1022 	CRITICAL 	Stim: Lovely
118.7873 	DATA 	Keypress: e
118.7874 	CRITICAL 	Final keypress: e
119.0530 	CRITICAL 	***Block 4 Instructions***
127.4925 	DATA 	Keypress: space
127.4926 	CRITICAL 	***Block 4 Experiment***
127.4926 	CRITICAL 	Stim: Joyful
128.4276 	DATA 	Keypress: e
128.4277 	CRITICAL 	Final keypress: e
128.6934 	CRITICAL 	Stim: wm6_nc.jpg
129.5450 	DATA 	Keypress: i
129.5451 	CRITICAL 	Final keypress: i
129.8108 	CRITICAL 	Stim: bf14_nc.jpg
130.4790 	DATA 	Keypress: e
130.4791 	CRITICAL 	Final keypress: e
130.7448 	CRITICAL 	Stim: Superb
131.4799 	DATA 	Keypress: e
131.4799 	CRITICAL 	Final keypress: e
131.7455 	CRITICAL 	Stim: bm23_nc.jpg
132.5806 	DATA 	Keypress: e
132.5807 	CRITICAL 	Final keypress: e
132.8463 	CRITICAL 	Stim: wm4_nc.jpg
133.5646 	DATA 	Keypress: i
133.5647 	CRITICAL 	Final keypress: i
133.8304 	CRITICAL 	Stim: wf2_nc.jpg
134.5653 	DATA 	Keypress: i
134.5654 	CRITICAL 	Final keypress: i
134.8311 	CRITICAL 	Stim: Tragic
135.4661 	DATA 	Keypress: i
135.4662 	CRITICAL 	Final keypress: i
135.7318 	CRITICAL 	Stim: bm14_nc.jpg
136.4667 	DATA 	Keypress: e
136.4668 	CRITICAL 	Final keypress: e
136.7325 	CRITICAL 	Stim: wf2_nc.jpg
137.6176 	DATA 	Keypress: i
137.6177 	CRITICAL 	Final keypress: i
137.8833 	CRITICAL 	Stim: Nasty
138.5350 	DATA 	Keypress: i
138.5351 	CRITICAL 	Final keypress: i
138.8007 	CRITICAL 	Stim: wm4_nc.jpg
139.5523 	DATA 	Keypress: i
139.5524 	CRITICAL 	Final keypress: i
139.8181 	CRITICAL 	Stim: Glorious
140.5365 	DATA 	Keypress: e
140.5366 	CRITICAL 	Final keypress: e
140.8021 	CRITICAL 	Stim: bm56_nc.jpg
141.8873 	DATA 	Keypress: e
141.8874 	CRITICAL 	Final keypress: e
142.1531 	CRITICAL 	Stim: wm6_nc.jpg
143.1549 	DATA 	Keypress: i
143.1550 	CRITICAL 	Final keypress: i
143.4207 	CRITICAL 	Stim: Glorious
144.1558 	DATA 	Keypress: e
144.1559 	CRITICAL 	Final keypress: e
144.4214 	CRITICAL 	Stim: bm14_nc.jpg
145.1564 	DATA 	Keypress: e
145.1565 	CRITICAL 	Final keypress: e
145.4222 	CRITICAL 	Stim: Awful
146.0238 	DATA 	Keypress: i
146.0239 	CRITICAL 	Final keypress: i
146.2895 	CRITICAL 	Stim: Beautiful
146.9078 	DATA 	Keypress: e
146.9079 	CRITICAL 	Final keypress: e
147.1734 	CRITICAL 	Stim: Wonderful
147.7585 	DATA 	Keypress: e
147.7586 	CRITICAL 	Final keypress: e
148.0241 	CRITICAL 	Stim: Horrible
148.6758 	DATA 	Keypress: i
148.6759 	CRITICAL 	Final keypress: i
148.9414 	CRITICAL 	Stim: Terrible
149.5097 	DATA 	Keypress: i
149.5098 	CRITICAL 	Final keypress: i
149.7753 	CRITICAL 	Stim: bm56_nc.jpg
150.4436 	DATA 	Keypress: e
150.4437 	CRITICAL 	Final keypress: e
150.7094 	CRITICAL 	Stim: bf56_nc.jpg
151.3442 	DATA 	Keypress: e
151.3443 	CRITICAL 	Final keypress: e
151.6100 	CRITICAL 	Stim: Pleasure
152.6620 	DATA 	Keypress: e
152.6621 	CRITICAL 	Final keypress: e
152.9276 	CRITICAL 	Stim: Lovely
153.5960 	DATA 	Keypress: e
153.5961 	CRITICAL 	Final keypress: e
153.8617 	CRITICAL 	Stim: bm23_nc.jpg
154.5299 	DATA 	Keypress: e
154.5300 	CRITICAL 	Final keypress: e
154.7957 	CRITICAL 	Stim: wf6_nc.jpg
155.7475 	DATA 	Keypress: i
155.7476 	CRITICAL 	Final keypress: i
156.0132 	CRITICAL 	Stim: Nasty
156.8150 	DATA 	Keypress: i
156.8151 	CRITICAL 	Final keypress: i
157.0807 	CRITICAL 	Stim: bf56_nc.jpg
157.7156 	DATA 	Keypress: e
157.7156 	CRITICAL 	Final keypress: e
157.9813 	CRITICAL 	Stim: Humiliate
158.6664 	DATA 	Keypress: i
158.6664 	CRITICAL 	Final keypress: i
158.9320 	CRITICAL 	Stim: bf23_nc.jpg
159.6503 	DATA 	Keypress: e
159.6504 	CRITICAL 	Final keypress: e
159.9161 	CRITICAL 	Stim: Horrible
160.5177 	DATA 	Keypress: i
160.5178 	CRITICAL 	Final keypress: i
160.7834 	CRITICAL 	Stim: wf3_nc.jpg
161.6351 	DATA 	Keypress: i
161.6352 	CRITICAL 	Final keypress: i
161.9009 	CRITICAL 	Stim: Superb
162.5359 	DATA 	Keypress: e
162.5359 	CRITICAL 	Final keypress: e
162.8015 	CRITICAL 	Stim: wf3_nc.jpg
163.6032 	DATA 	Keypress: e
164.2536 	DATA 	Keypress: i
164.2537 	CRITICAL 	Final keypress: i
164.5194 	CRITICAL 	Stim: Joyful
