14.1571 	WARNING 	User requested fullscreen with size [800 600], but screen is actually [1680, 1050]. Using actual size
1.4925 	CRITICAL 	***Begin Experiment***
1.4925 	CRITICAL 	***Randomization: black_1st***
1.4925 	CRITICAL 	***Block 1 Instructions***
166.3721 	DATA 	Keypress: space
186.7204 	DATA 	Keypress: space
186.7205 	CRITICAL 	***Block 1 Experiment***
186.7205 	CRITICAL 	Stim: bf14_nc.jpg
187.7383 	DATA 	Keypress: e
187.7383 	CRITICAL 	Final keypress: e
188.0050 	CRITICAL 	Stim: wf6_nc.jpg
188.7557 	DATA 	Keypress: i
188.7558 	CRITICAL 	Final keypress: i
189.0222 	CRITICAL 	Stim: wm1_nc.jpg
189.8732 	DATA 	Keypress: i
189.8733 	CRITICAL 	Final keypress: i
190.1397 	CRITICAL 	Stim: bm56_nc.jpg
190.8406 	DATA 	Keypress: e
190.8406 	CRITICAL 	Final keypress: e
191.1070 	CRITICAL 	Stim: wf6_nc.jpg
191.8246 	DATA 	Keypress: i
191.8247 	CRITICAL 	Final keypress: i
192.0911 	CRITICAL 	Stim: bm23_nc.jpg
192.7588 	DATA 	Keypress: e
192.7589 	CRITICAL 	Final keypress: e
193.0251 	CRITICAL 	Stim: bm14_nc.jpg
193.6426 	DATA 	Keypress: e
193.6427 	CRITICAL 	Final keypress: e
193.9091 	CRITICAL 	Stim: bm23_nc.jpg
194.6434 	DATA 	Keypress: e
194.6435 	CRITICAL 	Final keypress: e
194.9098 	CRITICAL 	Stim: wf3_nc.jpg
195.5774 	DATA 	Keypress: i
195.5775 	CRITICAL 	Final keypress: i
195.8438 	CRITICAL 	Stim: wf2_nc.jpg
196.5114 	DATA 	Keypress: i
196.5115 	CRITICAL 	Final keypress: i
196.7779 	CRITICAL 	Stim: bm14_nc.jpg
197.3954 	DATA 	Keypress: e
197.3955 	CRITICAL 	Final keypress: e
197.6618 	CRITICAL 	Stim: wm4_nc.jpg
198.3294 	DATA 	Keypress: i
198.3295 	CRITICAL 	Final keypress: i
198.5958 	CRITICAL 	Stim: wm6_nc.jpg
199.2134 	DATA 	Keypress: i
199.2135 	CRITICAL 	Final keypress: i
199.4799 	CRITICAL 	Stim: bf56_nc.jpg
200.3976 	DATA 	Keypress: i
202.4992 	DATA 	Keypress: e
202.4993 	CRITICAL 	Final keypress: e
202.7656 	CRITICAL 	Stim: bf23_nc.jpg
203.4999 	DATA 	Keypress: e
203.5000 	CRITICAL 	Final keypress: e
203.7663 	CRITICAL 	Stim: bm56_nc.jpg
204.4673 	DATA 	Keypress: e
204.4674 	CRITICAL 	Final keypress: e
204.7337 	CRITICAL 	Stim: wf3_nc.jpg
205.3680 	DATA 	Keypress: i
205.3680 	CRITICAL 	Final keypress: i
205.6344 	CRITICAL 	Stim: wm6_nc.jpg
206.3020 	DATA 	Keypress: i
206.3021 	CRITICAL 	Final keypress: i
206.5684 	CRITICAL 	Stim: wm1_nc.jpg
207.2694 	DATA 	Keypress: i
