12.2803 	WARNING 	User requested fullscreen with size [800 600], but screen is actually [1680, 1050]. Using actual size
1.5189 	CRITICAL 	***Begin Experiment***
1.5190 	CRITICAL 	***Randomization: white_1st***
1.5190 	CRITICAL 	***Block 1 Instructions***
103.7081 	DATA 	Keypress: space
175.4602 	DATA 	Keypress: space
175.4603 	CRITICAL 	***Block 1 Experiment***
175.4603 	CRITICAL 	Stim: bf23_nc.jpg
177.5622 	DATA 	Keypress: i
177.5623 	CRITICAL 	Final keypress: i
177.8289 	CRITICAL 	Stim: wm4_nc.jpg
178.9465 	DATA 	Keypress: e
178.9466 	CRITICAL 	Final keypress: e
179.2130 	CRITICAL 	Stim: wf2_nc.jpg
180.3309 	DATA 	Keypress: e
180.3310 	CRITICAL 	Final keypress: e
180.5973 	CRITICAL 	Stim: bm56_nc.jpg
181.4650 	DATA 	Keypress: i
181.4651 	CRITICAL 	Final keypress: i
181.7314 	CRITICAL 	Stim: wm6_nc.jpg
183.4331 	DATA 	Keypress: e
183.4332 	CRITICAL 	Final keypress: e
183.6995 	CRITICAL 	Stim: wf2_nc.jpg
184.8008 	DATA 	Keypress: e
184.8009 	CRITICAL 	Final keypress: e
185.0672 	CRITICAL 	Stim: bm56_nc.jpg
185.7848 	DATA 	Keypress: i
185.7849 	CRITICAL 	Final keypress: i
186.0512 	CRITICAL 	Stim: wm6_nc.jpg
186.7689 	DATA 	Keypress: e
186.7689 	CRITICAL 	Final keypress: e
187.0353 	CRITICAL 	Stim: bm23_nc.jpg
187.8863 	DATA 	Keypress: i
187.8864 	CRITICAL 	Final keypress: i
188.1528 	CRITICAL 	Stim: bf56_nc.jpg
189.1707 	DATA 	Keypress: i
189.1707 	CRITICAL 	Final keypress: i
189.4370 	CRITICAL 	Stim: wf6_nc.jpg
190.4048 	DATA 	Keypress: e
190.4049 	CRITICAL 	Final keypress: e
190.6713 	CRITICAL 	Stim: wm4_nc.jpg
191.4890 	DATA 	Keypress: e
191.4890 	CRITICAL 	Final keypress: e
191.7554 	CRITICAL 	Stim: wf6_nc.jpg
192.5231 	DATA 	Keypress: e
192.5232 	CRITICAL 	Final keypress: e
192.7895 	CRITICAL 	Stim: wm1_nc.jpg
193.6739 	DATA 	Keypress: e
193.6740 	CRITICAL 	Final keypress: e
193.9403 	CRITICAL 	Stim: bf14_nc.jpg
194.5745 	DATA 	Keypress: i
194.5746 	CRITICAL 	Final keypress: i
194.8410 	CRITICAL 	Stim: bm14_nc.jpg
195.4919 	DATA 	Keypress: i
195.4920 	CRITICAL 	Final keypress: i
195.7583 	CRITICAL 	Stim: bm23_nc.jpg
196.4259 	DATA 	Keypress: i
196.4260 	CRITICAL 	Final keypress: i
196.6923 	CRITICAL 	Stim: bf23_nc.jpg
197.5934 	DATA 	Keypress: i
197.5935 	CRITICAL 	Final keypress: i
197.8598 	CRITICAL 	Stim: wm1_nc.jpg
198.5941 	DATA 	Keypress: e
198.5942 	CRITICAL 	Final keypress: e
198.8606 	CRITICAL 	Stim: bm14_nc.jpg
199.5115 	DATA 	Keypress: i
199.5116 	CRITICAL 	Final keypress: i
199.7779 	CRITICAL 	***Block 2 Instructions***
215.7895 	DATA 	Keypress: space
215.7896 	CRITICAL 	***Block 2 Experiment***
215.7896 	CRITICAL 	Stim: Terrible
217.3745 	DATA 	Keypress: i
217.3746 	CRITICAL 	Final keypress: i
217.6409 	CRITICAL 	Stim: Nasty
218.3586 	DATA 	Keypress: i
218.3587 	CRITICAL 	Final keypress: i
218.6249 	CRITICAL 	Stim: Glorious
219.3593 	DATA 	Keypress: e
219.3594 	CRITICAL 	Final keypress: e
219.6256 	CRITICAL 	Stim: Lovely
220.4268 	DATA 	Keypress: e
220.4269 	CRITICAL 	Final keypress: e
220.6931 	CRITICAL 	Stim: Horrible
221.5776 	DATA 	Keypress: i
221.5777 	CRITICAL 	Final keypress: i
221.8439 	CRITICAL 	Stim: Lovely
222.5283 	DATA 	Keypress: e
222.5284 	CRITICAL 	Final keypress: e
222.7946 	CRITICAL 	Stim: Humiliate
224.2796 	DATA 	Keypress: i
224.2796 	CRITICAL 	Final keypress: i
224.5459 	CRITICAL 	Stim: Painful
225.2470 	DATA 	Keypress: i
225.2470 	CRITICAL 	Final keypress: i
225.5133 	CRITICAL 	Stim: Humiliate
226.2143 	DATA 	Keypress: i
226.2144 	CRITICAL 	Final keypress: i
226.4806 	CRITICAL 	Stim: Wonderful
227.1817 	DATA 	Keypress: e
227.1818 	CRITICAL 	Final keypress: e
227.4480 	CRITICAL 	Stim: Agony
228.1490 	DATA 	Keypress: i
228.1491 	CRITICAL 	Final keypress: i
228.4154 	CRITICAL 	Stim: Tragic
229.1664 	DATA 	Keypress: i
229.1665 	CRITICAL 	Final keypress: i
229.4328 	CRITICAL 	Stim: Horrible
230.1838 	DATA 	Keypress: i
230.1839 	CRITICAL 	Final keypress: i
230.4502 	CRITICAL 	Stim: Superb
231.2846 	DATA 	Keypress: e
231.2847 	CRITICAL 	Final keypress: e
231.5510 	CRITICAL 	Stim: Joyful
232.2520 	DATA 	Keypress: e
232.2521 	CRITICAL 	Final keypress: e
232.5183 	CRITICAL 	Stim: Agony
233.2361 	DATA 	Keypress: i
233.2362 	CRITICAL 	Final keypress: i
233.5025 	CRITICAL 	Stim: Marvelous
234.4036 	DATA 	Keypress: e
234.4037 	CRITICAL 	Final keypress: e
234.6699 	CRITICAL 	Stim: Beautiful
235.4877 	DATA 	Keypress: e
235.4878 	CRITICAL 	Final keypress: e
235.7540 	CRITICAL 	Stim: Superb
236.5385 	DATA 	Keypress: e
236.5386 	CRITICAL 	Final keypress: e
236.8048 	CRITICAL 	Stim: Joyful
237.5559 	DATA 	Keypress: e
237.5560 	CRITICAL 	Final keypress: e
237.8222 	CRITICAL 	***Block 3 Instructions***
249.6141 	DATA 	Keypress: space
249.6142 	CRITICAL 	***Block 3 Experiment***
249.6142 	CRITICAL 	Stim: Glorious
251.7335 	DATA 	Keypress: e
251.7336 	CRITICAL 	Final keypress: e
251.9992 	CRITICAL 	Stim: Beautiful
253.0178 	DATA 	Keypress: e
253.0179 	CRITICAL 	Final keypress: e
253.2834 	CRITICAL 	Stim: Joyful
254.1353 	DATA 	Keypress: e
254.1354 	CRITICAL 	Final keypress: e
254.4009 	CRITICAL 	Stim: wf2_nc.jpg
255.4194 	DATA 	Keypress: e
255.4195 	CRITICAL 	Final keypress: e
255.6852 	CRITICAL 	Stim: bm23_nc.jpg
257.4876 	DATA 	Keypress: i
257.4877 	CRITICAL 	Final keypress: i
257.7533 	CRITICAL 	Stim: bm56_nc.jpg
258.5384 	DATA 	Keypress: i
258.5384 	CRITICAL 	Final keypress: i
258.8041 	CRITICAL 	Stim: Horrible
259.6393 	DATA 	Keypress: i
259.6394 	CRITICAL 	Final keypress: i
259.9049 	CRITICAL 	Stim: Marvelous
260.6400 	DATA 	Keypress: e
260.6401 	CRITICAL 	Final keypress: e
260.9056 	CRITICAL 	Stim: bf14_nc.jpg
261.6406 	DATA 	Keypress: i
261.6407 	CRITICAL 	Final keypress: i
261.9064 	CRITICAL 	Stim: Awful
263.7089 	DATA 	Keypress: i
263.7090 	CRITICAL 	Final keypress: i
263.9745 	CRITICAL 	Stim: Agony
264.5262 	DATA 	Keypress: i
264.5263 	CRITICAL 	Final keypress: i
264.7918 	CRITICAL 	Stim: bf23_nc.jpg
265.4267 	DATA 	Keypress: i
265.4268 	CRITICAL 	Final keypress: i
265.6924 	CRITICAL 	Stim: bm14_nc.jpg
266.3941 	DATA 	Keypress: i
266.3942 	CRITICAL 	Final keypress: i
266.6598 	CRITICAL 	Stim: wm4_nc.jpg
267.2447 	DATA 	Keypress: e
267.2448 	CRITICAL 	Final keypress: e
267.5104 	CRITICAL 	Stim: wf3_nc.jpg
268.1453 	DATA 	Keypress: e
268.1454 	CRITICAL 	Final keypress: e
268.4111 	CRITICAL 	Stim: Wonderful
269.0795 	DATA 	Keypress: e
269.0796 	CRITICAL 	Final keypress: e
269.3451 	CRITICAL 	Stim: Terrible
270.0135 	DATA 	Keypress: i
270.0136 	CRITICAL 	Final keypress: i
270.2791 	CRITICAL 	Stim: Tragic
270.8474 	DATA 	Keypress: i
270.8475 	CRITICAL 	Final keypress: i
271.1131 	CRITICAL 	Stim: wf6_nc.jpg
271.9148 	DATA 	Keypress: e
271.9149 	CRITICAL 	Final keypress: e
272.1805 	CRITICAL 	Stim: wm6_nc.jpg
272.7988 	DATA 	Keypress: e
272.7988 	CRITICAL 	Final keypress: e
273.0645 	CRITICAL 	***Block 4 Instructions***
282.5880 	DATA 	Keypress: space
282.5881 	CRITICAL 	***Block 4 Experiment***
282.5881 	CRITICAL 	Stim: Lovely
283.5566 	DATA 	Keypress: e
283.5567 	CRITICAL 	Final keypress: e
283.8224 	CRITICAL 	Stim: Horrible
284.5240 	DATA 	Keypress: i
284.5241 	CRITICAL 	Final keypress: i
284.7897 	CRITICAL 	Stim: bf14_nc.jpg
285.5246 	DATA 	Keypress: i
285.5247 	CRITICAL 	Final keypress: i
285.7904 	CRITICAL 	Stim: Painful
286.4754 	DATA 	Keypress: i
286.4755 	CRITICAL 	Final keypress: i
286.7411 	CRITICAL 	Stim: Glorious
287.3928 	DATA 	Keypress: e
287.3929 	CRITICAL 	Final keypress: e
287.6584 	CRITICAL 	Stim: Superb
288.8105 	DATA 	Keypress: e
288.8105 	CRITICAL 	Final keypress: e
289.0761 	CRITICAL 	Stim: bm14_nc.jpg
289.7444 	DATA 	Keypress: i
289.7445 	CRITICAL 	Final keypress: i
290.0101 	CRITICAL 	Stim: wf2_nc.jpg
290.7284 	DATA 	Keypress: e
290.7285 	CRITICAL 	Final keypress: e
290.9942 	CRITICAL 	Stim: Humiliate
292.3630 	DATA 	Keypress: i
292.3631 	CRITICAL 	Final keypress: i
292.6287 	CRITICAL 	Stim: bm56_nc.jpg
293.1969 	DATA 	Keypress: i
293.1970 	CRITICAL 	Final keypress: i
293.4626 	CRITICAL 	Stim: Awful
294.2144 	DATA 	Keypress: i
294.2145 	CRITICAL 	Final keypress: i
294.4800 	CRITICAL 	Stim: wm4_nc.jpg
295.1483 	DATA 	Keypress: e
295.1484 	CRITICAL 	Final keypress: e
295.4140 	CRITICAL 	Stim: Beautiful
296.2659 	DATA 	Keypress: i
297.2166 	DATA 	Keypress: e
297.2166 	CRITICAL 	Final keypress: e
297.4823 	CRITICAL 	Stim: bm23_nc.jpg
298.1505 	DATA 	Keypress: i
298.1506 	CRITICAL 	Final keypress: i
298.4162 	CRITICAL 	Stim: Marvelous
300.3856 	DATA 	Keypress: e
300.3857 	CRITICAL 	Final keypress: e
300.6512 	CRITICAL 	Stim: Joyful
301.1194 	DATA 	Keypress: e
301.1195 	CRITICAL 	Final keypress: e
301.3851 	CRITICAL 	Stim: wm1_nc.jpg
302.0367 	DATA 	Keypress: e
302.0368 	CRITICAL 	Final keypress: e
302.3024 	CRITICAL 	Stim: Nasty
302.9708 	DATA 	Keypress: i
302.9708 	CRITICAL 	Final keypress: i
303.2364 	CRITICAL 	Stim: bm14_nc.jpg
303.8213 	DATA 	Keypress: i
303.8214 	CRITICAL 	Final keypress: i
304.0870 	CRITICAL 	Stim: Humiliate
304.8054 	DATA 	Keypress: i
304.8055 	CRITICAL 	Final keypress: i
305.0711 	CRITICAL 	Stim: wf2_nc.jpg
305.7894 	DATA 	Keypress: e
305.7894 	CRITICAL 	Final keypress: e
306.0551 	CRITICAL 	Stim: wf3_nc.jpg
306.7234 	DATA 	Keypress: e
306.7235 	CRITICAL 	Final keypress: e
306.9891 	CRITICAL 	Stim: bf56_nc.jpg
307.6240 	DATA 	Keypress: i
307.6241 	CRITICAL 	Final keypress: i
307.8898 	CRITICAL 	Stim: Awful
308.5081 	DATA 	Keypress: i
308.5082 	CRITICAL 	Final keypress: i
308.7738 	CRITICAL 	Stim: wf6_nc.jpg
309.5087 	DATA 	Keypress: e
309.5088 	CRITICAL 	Final keypress: e
309.7745 	CRITICAL 	Stim: bf56_nc.jpg
310.6095 	DATA 	Keypress: i
310.6096 	CRITICAL 	Final keypress: i
310.8753 	CRITICAL 	Stim: Joyful
311.9106 	DATA 	Keypress: e
311.9107 	CRITICAL 	Final keypress: e
312.1762 	CRITICAL 	Stim: bf14_nc.jpg
312.7778 	DATA 	Keypress: i
312.7779 	CRITICAL 	Final keypress: i
313.0435 	CRITICAL 	Stim: Nasty
313.6619 	DATA 	Keypress: i
313.6619 	CRITICAL 	Final keypress: i
313.9275 	CRITICAL 	Stim: Horrible
314.4958 	DATA 	Keypress: i
314.4959 	CRITICAL 	Final keypress: i
314.7614 	CRITICAL 	Stim: wf3_nc.jpg
315.4130 	DATA 	Keypress: e
315.4131 	CRITICAL 	Final keypress: e
315.6788 	CRITICAL 	Stim: bf23_nc.jpg
316.3304 	DATA 	Keypress: i
316.3305 	CRITICAL 	Final keypress: i
316.5961 	CRITICAL 	Stim: Agony
317.6147 	DATA 	Keypress: i
317.6148 	CRITICAL 	Final keypress: i
317.8804 	CRITICAL 	Stim: wm6_nc.jpg
318.7321 	DATA 	Keypress: e
318.7322 	CRITICAL 	Final keypress: e
318.9978 	CRITICAL 	Stim: Superb
320.1166 	DATA 	Keypress: e
320.1166 	CRITICAL 	Final keypress: e
320.3822 	CRITICAL 	Stim: Pleasure
321.0673 	DATA 	Keypress: e
321.0673 	CRITICAL 	Final keypress: e
321.3329 	CRITICAL 	Stim: bm56_nc.jpg
321.9011 	DATA 	Keypress: i
321.9012 	CRITICAL 	Final keypress: i
322.1668 	CRITICAL 	Stim: Marvelous
322.8185 	DATA 	Keypress: e
322.8186 	CRITICAL 	Final keypress: e
323.0841 	CRITICAL 	Stim: wm1_nc.jpg
323.7858 	DATA 	Keypress: e
323.7859 	CRITICAL 	Final keypress: e
324.0515 	CRITICAL 	Stim: wf6_nc.jpg
324.5530 	DATA 	Keypress: e
324.5531 	CRITICAL 	Final keypress: e
