12.0901 	WARNING 	User requested fullscreen with size [800 600], but screen is actually [1680, 1050]. Using actual size
1.5015 	CRITICAL 	***Begin Experiment***
1.5015 	CRITICAL 	***Randomization: black_1st***
1.5015 	CRITICAL 	***Block 1 Instructions***
37.5271 	DATA 	Keypress: space
51.2205 	DATA 	Keypress: space
51.2206 	CRITICAL 	***Block 1 Experiment***
51.2206 	CRITICAL 	Stim: bf14_nc.jpg
52.4385 	DATA 	Keypress: e
52.4387 	CRITICAL 	Final keypress: e
52.7053 	CRITICAL 	Stim: wf6_nc.jpg
53.7562 	DATA 	Keypress: i
53.7563 	CRITICAL 	Final keypress: i
54.0226 	CRITICAL 	Stim: wm1_nc.jpg
54.9904 	DATA 	Keypress: i
54.9905 	CRITICAL 	Final keypress: i
55.2569 	CRITICAL 	Stim: bm56_nc.jpg
55.9578 	DATA 	Keypress: e
55.9579 	CRITICAL 	Final keypress: e
56.2242 	CRITICAL 	Stim: wf6_nc.jpg
57.2254 	DATA 	Keypress: i
57.2255 	CRITICAL 	Final keypress: i
57.4918 	CRITICAL 	Stim: bm23_nc.jpg
58.1928 	DATA 	Keypress: e
58.1929 	CRITICAL 	Final keypress: e
58.4592 	CRITICAL 	Stim: bm14_nc.jpg
59.1768 	DATA 	Keypress: e
59.1769 	CRITICAL 	Final keypress: e
59.4433 	CRITICAL 	Stim: bm23_nc.jpg
60.2610 	DATA 	Keypress: e
60.2611 	CRITICAL 	Final keypress: e
60.5274 	CRITICAL 	Stim: wf3_nc.jpg
61.4285 	DATA 	Keypress: i
61.4286 	CRITICAL 	Final keypress: i
61.6949 	CRITICAL 	Stim: wf2_nc.jpg
62.4459 	DATA 	Keypress: i
62.4460 	CRITICAL 	Final keypress: i
62.7124 	CRITICAL 	Stim: bm14_nc.jpg
63.4133 	DATA 	Keypress: e
63.4134 	CRITICAL 	Final keypress: e
63.6798 	CRITICAL 	Stim: wm4_nc.jpg
64.5976 	DATA 	Keypress: i
64.5977 	CRITICAL 	Final keypress: i
64.8640 	CRITICAL 	Stim: wm6_nc.jpg
65.7818 	DATA 	Keypress: e
67.0160 	DATA 	Keypress: i
67.0161 	CRITICAL 	Final keypress: i
67.2824 	CRITICAL 	Stim: bf56_nc.jpg
68.1668 	DATA 	Keypress: e
68.1669 	CRITICAL 	Final keypress: e
68.4333 	CRITICAL 	Stim: bf23_nc.jpg
69.1008 	DATA 	Keypress: e
